alpha,prior_mean,champion,best_pool,best_pool_score,best_pool_member,top_pool_appearances,top_pool_share,best_rank
50.0,0.49997400485652904,Vladimir,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Xerath,"Pantheon, Sion, Xerath",0.5462958377316645,True,1,0.1,1.0
50.0,0.49997400485652904,Yasuo,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Yone,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Zed,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Ziggs,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Zoe,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
100.0,0.49997400485652904,Ahri,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Akali,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Akshan,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.2,6.0
100.0,0.49997400485652904,Anivia,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Annie,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.2,2.0
100.0,0.49997400485652904,Aurora,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Azir,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Brand,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Diana,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Ekko,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Fizz,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.1,4.0
100.0,0.49997400485652904,Galio,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Hwei,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Irelia,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Jayce,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Katarina,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.1,5.0
100.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Lux,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Malphite,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Mel,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Morgana,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.1,10.0
100.0,0.49997400485652904,Nasus,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Orianna,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Xerath",0.5423093552212241,True,7,0.7,1.0
100.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Ryze,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Sion,"Pantheon, Sion, Xerath",0.5423093552212241,True,10,1.0,1.0
100.0,0.49997400485652904,Smolder,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Swain,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Sylas,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Syndra,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Taliyah,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Talon,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Twisted Fate,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Veigar,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Vel'Koz,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.1,3.0
100.0,0.49997400485652904,Vex,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.2,7.0
100.0,0.49997400485652904,Viktor,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Vladimir,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Xerath,"Pantheon, Sion, Xerath",0.5423093552212241,True,3,0.3,1.0
100.0,0.49997400485652904,Yasuo,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Yone,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Zed,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Ziggs,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Zoe,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
250.0,0.49997400485652904,Ahri,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Akali,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Akshan,"Pantheon, Sion, Xerath",0.534706712209623,False,2,0.2,4.0
250.0,0.49997400485652904,Anivia,"Pantheon, Sion, Xerath",0.534706712209623,False,1,0.1,7.0
250.0,0.49997400485652904,Annie,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Xerath",0.534706712209623,False,2,0.2,3.0
250.0,0.49997400485652904,Aurora,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Azir,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Brand,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Diana,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Ekko,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Fizz,"Pantheon, Sion, Xerath",0.534706712209623,False,1,0.1,10.0
250.0,0.49997400485652904,Galio,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Hwei,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Irelia,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Jayce,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Katarina,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Lux,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Malphite,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Xerath",0.534706712209623,False,2,0.2,8.0
250.0,0.49997400485652904,Mel,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Morgana,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Nasus,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Orianna,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Xerath",0.534706712209623,True,3,0.3,1.0
250.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Ryze,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Sion,"Pantheon, Sion, Xerath",0.534706712209623,True,10,1.0,1.0
250.0,0.49997400485652904,Smolder,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Swain,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Sylas,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Syndra,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Taliyah,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
250.0,0.49997400485652904,Talon,"Pantheon, Sion, Xerath",0.534706712209623,False,0,0.0,
