record_type,champion,pool,base_best_pool,base_best_score,winner_inclusion_rate,top_pool_slot_share,base_best_mean_rank,base_best_p95_rank,base_best_mean_score,sample_count,effective_sample_size
champion,Ahri,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Akali,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Akshan,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.23,1.0,1.0,0.5422440795172393,10,5000.0
champion,Anivia,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Annie,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.01,1.0,1.0,0.5422440795172393,10,5000.0
champion,Aurelion Sol,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.26,1.0,1.0,0.5422440795172393,10,5000.0
champion,Aurora,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Azir,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Brand,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Cassiopeia,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Cho'Gath,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Diana,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.02,1.0,1.0,0.5422440795172393,10,5000.0
champion,Ekko,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Fizz,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.1,1.0,1.0,0.5422440795172393,10,5000.0
champion,Galio,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Hwei,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.01,1.0,1.0,0.5422440795172393,10,5000.0
champion,Irelia,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Jayce,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Kassadin,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Katarina,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.1,1.0,1.0,0.5422440795172393,10,5000.0
champion,LeBlanc,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Lissandra,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Lux,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
champion,Malphite,,"Pantheon, Sion, Xerath",0.5423093552212241,0.0,0.0,1.0,1.0,0.5422440795172393,10,5000.0
