champion_i,champion_j,games_ij
Veigar,Nasus,383.0
Veigar,Kog'Maw,352.0
Veigar,Morgana,332.0
Veigar,Pantheon,319.0
Veigar,Jayce,304.0
Viktor,Ahri,13990.0
Viktor,Yasuo,6798.0
Viktor,Xerath,6768.0
Viktor,Malzahar,6433.0
Viktor,Mel,6185.0
Viktor,Sylas,5474.0
Viktor,Zed,5283.0
Viktor,Yone,5180.0
Viktor,Akali,5144.0
Viktor,Syndra,5047.0
Viktor,Orianna,4831.0
Viktor,Katarina,4783.0
Viktor,Twisted Fate,4526.0
Viktor,Veigar,4179.0
Viktor,Ryze,3742.0
Viktor,Lux,3737.0
Viktor,LeBlanc,3641.0
Viktor,Hwei,3513.0
Viktor,Fizz,3294.0
Viktor,Aurora,3228.0
Viktor,Diana,3175.0
Viktor,Anivia,3031.0
Viktor,Galio,3018.0
Viktor,Zoe,2932.0
Viktor,Aurelion Sol,2849.0
Viktor,Ekko,2544.0
Viktor,Kassadin,2435.0
Viktor,Vex,2373.0
Viktor,Vladimir,2353.0
Viktor,Irelia,2347.0
Viktor,Lissandra,2297.0
Viktor,Akshan,2131.0
Viktor,Naafiri,2021.0
Viktor,Annie,1726.0
Viktor,Azir,1580.0
Viktor,Taliyah,1566.0
Viktor,Qiyana,1550.0
Viktor,Talon,1434.0
Viktor,Vel'Koz,1371.0
Viktor,Brand,955.0
Viktor,Cassiopeia,909.0
Viktor,Ziggs,890.0
Viktor,Smolder,806.0
Viktor,Swain,798.0
Viktor,Sion,713.0
Viktor,Cho'Gath,508.0
Viktor,Kog'Maw,485.0
Viktor,Nasus,482.0
Viktor,Morgana,473.0
Viktor,Malphite,467.0
Viktor,Jayce,460.0
Viktor,Pantheon,444.0
Viktor,Kayle,429.0
Fizz,Ahri,7292.0
Fizz,Yasuo,5233.0
Fizz,Zed,4953.0
Fizz,Katarina,4493.0
Fizz,Malzahar,3955.0
Fizz,Veigar,3885.0
Fizz,Mel,3822.0
Fizz,Sylas,3597.0
Fizz,Akali,3529.0
Fizz,Xerath,3503.0
Fizz,Syndra,3354.0
Fizz,Viktor,3294.0
Fizz,Yone,2980.0
Fizz,Galio,2978.0
Fizz,Diana,2683.0
Fizz,Lux,2613.0
Fizz,Twisted Fate,2576.0
Fizz,LeBlanc,2449.0
Fizz,Lissandra,2393.0
Fizz,Ekko,1975.0
Fizz,Vladimir,1954.0
Fizz,Zoe,1904.0
Fizz,Orianna,1781.0
Fizz,Kassadin,1776.0
Fizz,Aurelion Sol,1759.0
Fizz,Ryze,1749.0
Fizz,Anivia,1686.0
Fizz,Hwei,1653.0
Fizz,Vex,1625.0
Fizz,Aurora,1596.0
Fizz,Naafiri,1494.0
Fizz,Irelia,1327.0
Fizz,Qiyana,1233.0
Fizz,Akshan,1215.0
Fizz,Annie,1169.0
Fizz,Talon,965.0
Fizz,Pantheon,831.0
Fizz,Azir,788.0
Fizz,Taliyah,744.0
Fizz,Vel'Koz,697.0
Fizz,Brand,622.0
Fizz,Sion,592.0
Fizz,Cassiopeia,505.0
Fizz,Ziggs,498.0
Fizz,Smolder,491.0
Fizz,Cho'Gath,421.0
Fizz,Swain,418.0
Fizz,Malphite,360.0
Fizz,Nasus,322.0
Fizz,Morgana,321.0
Fizz,Kayle,281.0
Fizz,Jayce,280.0
Fizz,Kog'Maw,268.0
Diana,Ahri,6893.0
Diana,Katarina,4366.0
Diana,Zed,4332.0
Diana,Yasuo,4020.0
Diana,Sylas,3637.0
Diana,Malzahar,3634.0
Diana,Akali,3212.0
Diana,Viktor,3175.0
Diana,Mel,2759.0
Diana,Yone,2730.0
Diana,Fizz,2683.0
Diana,Galio,2380.0
Diana,Xerath,2368.0
Diana,LeBlanc,2156.0
Diana,Veigar,2041.0
Diana,Twisted Fate,2028.0
Diana,Syndra,1922.0
Diana,Lux,1859.0
Diana,Orianna,1815.0
Diana,Ekko,1593.0
Diana,Aurora,1564.0
Diana,Hwei,1520.0
Diana,Ryze,1486.0
Diana,Vex,1481.0
Diana,Anivia,1479.0
Diana,Aurelion Sol,1436.0
Diana,Zoe,1371.0
Diana,Kassadin,1306.0
Diana,Lissandra,1299.0
Diana,Naafiri,1253.0
Diana,Irelia,1250.0
Diana,Vladimir,1240.0
Diana,Akshan,1240.0
Diana,Qiyana,1089.0
Diana,Annie,970.0
Diana,Talon,946.0
Diana,Azir,769.0
Diana,Taliyah,665.0
Diana,Cassiopeia,627.0
Diana,Vel'Koz,479.0
Diana,Brand,466.0
Diana,Swain,411.0
Diana,Pantheon,379.0
Diana,Ziggs,372.0
Diana,Sion,371.0
Diana,Smolder,370.0
Diana,Malphite,299.0
Diana,Cho'Gath,285.0
Diana,Kog'Maw,248.0
Diana,Nasus,244.0
Diana,Morgana,237.0
Diana,Jayce,230.0
Diana,Kayle,228.0
Yasuo,Ahri,14329.0
Yasuo,Yone,9859.0
Yasuo,Akali,9295.0
Yasuo,Zed,9284.0
Yasuo,Malzahar,8404.0
Yasuo,Katarina,7637.0
Yasuo,Sylas,6985.0
Yasuo,Viktor,6798.0
Yasuo,Mel,6239.0
Yasuo,Fizz,5233.0
Yasuo,Veigar,5053.0
Yasuo,Lissandra,4864.0
Yasuo,Vex,4767.0
Yasuo,Xerath,4737.0
Yasuo,Lux,4218.0
Yasuo,Vladimir,4113.0
Yasuo,Syndra,4063.0
Yasuo,Twisted Fate,4061.0
Yasuo,LeBlanc,4024.0
Yasuo,Diana,4020.0
Yasuo,Orianna,4005.0
Yasuo,Ryze,3748.0
Yasuo,Aurelion Sol,3544.0
Yasuo,Ekko,3506.0
Yasuo,Anivia,3487.0
Yasuo,Irelia,3387.0
Yasuo,Aurora,3287.0
Yasuo,Zoe,3217.0
Yasuo,Galio,3191.0
Yasuo,Kassadin,3168.0
Yasuo,Annie,3091.0
Yasuo,Hwei,2897.0
Yasuo,Naafiri,2531.0
Yasuo,Taliyah,2348.0
Yasuo,Qiyana,2282.0
Yasuo,Malphite,2229.0
Yasuo,Azir,2215.0
Yasuo,Akshan,2207.0
Yasuo,Pantheon,2101.0
Yasuo,Talon,1999.0
Yasuo,Cassiopeia,1166.0
Yasuo,Brand,1145.0
Yasuo,Vel'Koz,1108.0
Yasuo,Swain,1057.0
Yasuo,Smolder,996.0
Yasuo,Cho'Gath,933.0
Yasuo,Nasus,827.0
Yasuo,Sion,809.0
Yasuo,Ziggs,757.0
