champion_i,champion_j,raw_winrate,shrinked_winrate,games,wins,shrinkage_amount,absolute_shrinkage
Anivia,Jayce,0.5379999999999999,0.524610565090327,184.0,98.99199999999999,-0.013389434909672926,0.013389434909672926
Jayce,Anivia,0.4620000000000001,0.4753711284706088,184.0,85.00800000000001,0.013371128470608729,0.013371128470608729
Pantheon,Yone,0.5783999999999999,0.5651299500603264,491.0,283.9944,-0.013270049939673512,0.013270049939673512
Yone,Pantheon,0.4216,0.4348612529368069,491.0,207.0056,0.013261252936806911,0.013261252936806911
Lissandra,Jayce,0.5443,0.5311468857141036,237.0,128.9991,-0.013153114285896383,0.013153114285896383
Jayce,Lissandra,0.4557,0.4688376869010472,237.0,108.0009,0.013137686901047219,0.013137686901047219
Ziggs,Galio,0.5396,0.526478809555142,202.0,108.99919999999999,-0.013121190444857933,0.013121190444857933
Sion,Ryze,0.5569,0.5437834112572647,334.0,186.00459999999998,-0.013116588742735247,0.013116588742735247
Ryze,Sion,0.44310000000000005,0.45620460941394686,334.0,147.99540000000002,0.01310460941394681,0.01310460941394681
Galio,Ziggs,0.4604,0.4735039751180559,202.0,93.0008,0.013103975118055944,0.013103975118055944
Nasus,Vex,0.5303,0.5172284503691935,132.0,69.9996,-0.013071549630806478,0.013071549630806478
Vex,Nasus,0.4697,0.482749140024366,132.0,62.0004,0.013049140024365968,0.013049140024365968
Veigar,Smolder,0.5666,0.5536124765802201,413.0,234.0058,-0.012987523419779934,0.012987523419779934
Smolder,Veigar,0.4334,0.4463773888609218,413.0,178.9942,0.012977388860921812,0.012977388860921812
Aurora,Smolder,0.5392,0.5262967121238583,204.0,109.99680000000001,-0.0129032878761417,0.0129032878761417
Smolder,Aurora,0.4608,0.47368618580806876,204.0,94.00319999999999,0.012886185808068773,0.012886185808068773
Annie,Ryze,0.5908,0.5779351281666472,606.0,358.02479999999997,-0.012864871833352831,0.012864871833352831
Ryze,Annie,0.4092,0.4220575077700466,606.0,247.9752,0.012857507770046572,0.012857507770046572
Sion,Cassiopeia,0.5285,0.5157080739266946,123.0,65.0055,-0.01279192607330537,0.01279192607330537
Cassiopeia,Sion,0.4715,0.4842686120432866,123.0,57.994499999999995,0.012768612043286609,0.012768612043286609
