champion_i,champion_j,raw_winrate,shrinked_winrate,games,wins,shrinkage_amount,absolute_shrinkage
Vladimir,Naafiri,0.5422999999999999,0.5350647871549622,485.0,263.0155,-0.007235212845037697,0.007235212845037697
Naafiri,Vladimir,0.45770000000000005,0.46492632561650077,485.0,221.98450000000003,0.007226325616500717,0.007226325616500717
Sion,LeBlanc,0.5408,0.5335869266530969,466.0,252.01279999999997,-0.007213073346903021,0.007213073346903021
Vel'Koz,Zoe,0.5286,0.5213894218782189,297.0,156.99419999999998,-0.007210578121781053,0.007210578121781053
Cho'Gath,Zoe,0.5146000000000001,0.5073950762840045,103.0,53.003800000000005,-0.00720492371599557,0.00720492371599557
LeBlanc,Sion,0.4592,0.466403887783839,466.0,213.9872,0.007203887783839014,0.007203887783839014
Zoe,Vel'Koz,0.4714,0.47859748233161936,297.0,140.0058,0.007197482331619376,0.007197482331619376
Hwei,Galio,0.5836,0.5764156361560592,1064.0,620.9504000000001,-0.007184363843940833,0.007184363843940833
Galio,Hwei,0.4164,0.42357989732444407,1064.0,443.0496,0.007179897324444073,0.007179897324444073
Zoe,Cho'Gath,0.4854,0.49257931273720645,103.0,49.9962,0.007179312737206456,0.007179312737206456
Annie,Qiyana,0.5347,0.5275985695003127,389.0,207.99829999999997,-0.007101430499687256,0.007101430499687256
Qiyana,Annie,0.4653,0.4723907985391675,389.0,181.0017,0.007090798539167498,0.007090798539167498
Swain,Akshan,0.5217,0.5146231286177619,207.0,107.99190000000002,-0.007076871382238115,0.007076871382238115
Akshan,Swain,0.4783,0.48535993643535147,207.0,99.0081,0.007059936435351466,0.007059936435351466
Anivia,Pantheon,0.5196000000000001,0.5125655931385409,179.0,93.00840000000001,-0.007034406861459175,0.007034406861459175
Pantheon,Anivia,0.48040000000000005,0.4874157723500105,179.0,85.9916,0.007015772350010441,0.007015772350010441
Vex,Cho'Gath,0.5143,0.5073117096861117,105.0,54.0015,-0.006988290313888257,0.006988290313888257
Cho'Gath,Vex,0.4857,0.4926629291983068,105.0,50.9985,0.0069629291983067665,0.0069629291983067665
Yasuo,Ziggs,0.5418,0.5348521602751709,502.0,271.98359999999997,-0.006947839724829041,0.006947839724829041
Jayce,Ryze,0.5204,0.5134993259650436,196.0,101.99839999999999,-0.006900674034956422,0.006900674034956422
Ryze,Jayce,0.4796,0.4864831097488274,196.0,94.00160000000001,0.006883109748827387,0.006883109748827387
Irelia,Ryze,0.5543,0.5474319854433033,691.0,383.0213,-0.006868014556696722,0.006868014556696722
Ryze,Irelia,0.4457,0.452561441827627,691.0,307.9787,0.006861441827626991,0.006861441827626991
Azir,Aurora,0.4395,0.4463332208877434,785.0,345.0075,0.0068332208877434075,0.0068332208877434075
Aurelion Sol,Ryze,0.5645,0.5576718523657703,845.0,477.0025,-0.006828147634229675,0.006828147634229675
Ryze,Aurelion Sol,0.4355,0.44232264601656396,845.0,367.9975,0.00682264601656396,0.00682264601656396
Pantheon,Ryze,0.5181,0.5112857161114771,166.0,86.0046,-0.0068142838885228985,0.0068142838885228985
Ryze,Pantheon,0.4819,0.48869473866786806,166.0,79.9954,0.006794738667868061,0.006794738667868061
Akshan,Yone,0.584,0.5772072760595415,1137.0,664.0079999999999,-0.006792723940458489,0.006792723940458489
Anivia,Vladimir,0.5699000000000001,0.5631110684326728,930.0,530.0070000000001,-0.006788931567327294,0.006788931567327294
Yone,Akshan,0.41600000000000004,0.4227885210069951,1137.0,472.992,0.006788521006995063,0.006788521006995063
Jayce,Zoe,0.5202,0.5134127533075601,198.0,102.9996,-0.006787246692439908,0.006787246692439908
Vladimir,Anivia,0.4301,0.4368838839666533,930.0,399.993,0.0067838839666533035,0.0067838839666533035
Vex,Irelia,0.5599000000000001,0.553121041273363,784.0,438.96160000000003,-0.00677895872663703,0.00677895872663703
Irelia,Vex,0.44009999999999994,0.446873077472458,784.0,345.03839999999997,0.006773077472458089,0.006773077472458089
Zoe,Jayce,0.47979999999999995,0.48656980028742575,198.0,95.00039999999998,0.006769800287425798,0.006769800287425798
Irelia,Talon,0.545,0.5382494759904842,567.0,309.01500000000004,-0.0067505240095158126,0.0067505240095158126
Talon,Irelia,0.455,0.4617427293637975,567.0,257.985,0.006742729363797495,0.006742729363797495
Viktor,Jayce,0.5347999999999999,0.5280638307266013,417.0,223.0116,-0.006736169273398596,0.006736169273398596
Malzahar,Cho'Gath,0.5275,0.5207699278377822,309.0,162.9975,-0.006730072162217771,0.006730072162217771
Jayce,Viktor,0.46520000000000006,0.471926113125054,417.0,193.9884,0.006726113125053945,0.006726113125053945
Cho'Gath,Malzahar,0.4725,0.47921736060061837,309.0,146.0025,0.006717360600618394,0.006717360600618394
Aurora,Azir,0.5592,0.55250779715893,785.0,438.97200000000004,-0.006692202841070083,0.006692202841070083
Mel,Malphite,0.526,0.5193095128165885,289.0,152.014,-0.006690487183411475,0.006690487183411475
Malzahar,Malphite,0.5294,0.5227122738310294,340.0,179.99599999999998,-0.00668772616897062,0.00668772616897062
Malphite,Mel,0.474,0.48067712207108715,289.0,136.986,0.0066771220710871715,0.0066771220710871715
Malphite,Malzahar,0.4706000000000001,0.47727591019466575,340.0,160.00400000000002,0.00667591019466568,0.00667591019466568
Fizz,Vel'Koz,0.5386,0.5319288436712486,479.0,257.9894,-0.006671156328751371,0.006671156328751371
Vel'Koz,Fizz,0.46140000000000003,0.4680621770045819,479.0,221.0106,0.006662177004581882,0.006662177004581882
Sion,Zed,0.5699000000000001,0.5632467178740751,951.0,541.9749,-0.006653282125924975,0.006653282125924975
Zed,Sion,0.4301,0.43674833538121116,951.0,409.0251,0.006648335381211179,0.006648335381211179
Naafiri,Brand,0.5209,0.5142568269385807,215.0,111.99350000000001,-0.006643173061419372,0.006643173061419372
Syndra,Talon,0.5556,0.5489620530855047,738.0,410.0328,-0.006637946914495263,0.006637946914495263
Talon,Syndra,0.44439999999999996,0.4510317428229748,738.0,327.9672,0.006631742822974851,0.006631742822974851
Brand,Naafiri,0.47909999999999997,0.4857266682084218,215.0,103.00649999999999,0.006626668208421838,0.006626668208421838
Vel'Koz,Cassiopeia,0.5166,0.509976097552402,151.0,78.00659999999999,-0.006623902447597918,0.006623902447597918
Cassiopeia,Vel'Koz,0.48340000000000005,0.49000318918586816,151.0,72.99340000000001,0.006603189185868108,0.006603189185868108
Xerath,Azir,0.6008,0.5942229618301715,1433.0,860.9464,-0.006577038169828464,0.006577038169828464
Anivia,Azir,0.5537,0.5471239908025127,717.0,397.00289999999995,-0.0065760091974872426,0.0065760091974872426
Azir,Xerath,0.3992,0.4057736467616783,1433.0,572.0536,0.00657364676167832,0.00657364676167832
Azir,Anivia,0.4463000000000001,0.4528696456372741,717.0,319.99710000000005,0.006569645637274024,0.006569645637274024
Aurelion Sol,Annie,0.5386,0.5320753386581974,492.0,264.9912,-0.006524661341802518,0.006524661341802518
Nasus,Viktor,0.532,0.5254773940644663,391.0,208.012,-0.006522605935533776,0.006522605935533776
Annie,Aurelion Sol,0.46140000000000003,0.46791587919873806,492.0,227.0088,0.006515879198738028,0.006515879198738028
Viktor,Nasus,0.46799999999999997,0.47451201728238884,391.0,182.988,0.006512017282388871,0.006512017282388871
Vel'Koz,Malphite,0.5097999999999999,0.5032927184480325,51.0,25.999799999999997,-0.006507281551967448,0.006507281551967448
Malphite,Vel'Koz,0.49019999999999997,0.49667285089836355,51.0,25.0002,0.00647285089836358,0.00647285089836358
Sylas,Malphite,0.5566,0.5501505700292174,778.0,433.03479999999996,-0.006449429970782572,0.006449429970782572
Malphite,Sylas,0.44340000000000007,0.44984350852580063,778.0,344.96520000000004,0.0064435085258005564,0.0064435085258005564
Naafiri,Zoe,0.5544,0.5479590538291751,745.0,413.028,-0.006440946170824913,0.006440946170824913
Zoe,Naafiri,0.4456,0.45203479347414544,745.0,331.972,0.006434793474145439,0.006434793474145439
Brand,Galio,0.5287,0.5222879475126181,348.0,183.9876,-0.0064120524873818585,0.0064120524873818585
Galio,Brand,0.47130000000000005,0.47770044751261814,348.0,164.0124,0.00640044751261809,0.00640044751261809
Sylas,Nasus,0.528,0.5216159464365671,339.0,178.99200000000002,-0.006384053563432968,0.006384053563432968
Nasus,Sylas,0.47200000000000003,0.478372210673469,339.0,160.008,0.006372210673468992,0.006372210673468992
Ziggs,Akali,0.4673,0.4736692017264189,413.0,192.9949,0.006369201726418916,0.006369201726418916
Anivia,Cho'Gath,0.5161,0.5097760803358937,155.0,79.9955,-0.006323919664106281,0.006323919664106281
Cho'Gath,Anivia,0.48389999999999994,0.49020353131628586,155.0,75.0045,0.006303531316285915,0.006303531316285915
Aurelion Sol,Aurora,0.5626,0.5562995980740976,894.0,502.9644,-0.006300401925902421,0.006300401925902421
Aurora,Aurelion Sol,0.4374,0.44369517151474136,894.0,391.0356,0.006295171514741349,0.006295171514741349
Vladimir,Ziggs,0.5172,0.5109131404585873,174.0,89.9928,-0.006286859541412726,0.006286859541412726
Aurelion Sol,Orianna,0.5782,0.571916787538677,1145.0,662.0390000000001,-0.006283212461323018,0.006283212461323018
Orianna,Aurelion Sol,0.4218,0.42807903653466095,1145.0,482.961,0.006279036534660942,0.006279036534660942
Ziggs,Vladimir,0.4828,0.48906788498413467,174.0,84.0072,0.006267884984134664,0.006267884984134664
Lissandra,Naafiri,0.5705,0.5642532333796748,1029.0,587.0445,-0.006246766620325195,0.006246766620325195
Naafiri,Lissandra,0.42950000000000005,0.43574216163476787,1029.0,441.95550000000003,0.006242161634767818,0.006242161634767818
Cassiopeia,Mel,0.5489,0.542667389153698,685.0,375.9965,-0.006232610846302,0.006232610846302
Mel,Cassiopeia,0.45109999999999995,0.4573259878798126,685.0,309.0035,0.0062259878798126556,0.0062259878798126556
Nasus,Malzahar,0.53,0.5237834378584947,383.0,202.99,-0.006216562141505344,0.006216562141505344
Malzahar,Nasus,0.47,0.47620579810694186,383.0,180.01,0.006205798106941884,0.006205798106941884
LeBlanc,Azir,0.5562,0.5500751639277265,818.0,454.9716,-0.006124836072273543,0.006124836072273543
Azir,LeBlanc,0.44380000000000003,0.44991917264232345,818.0,363.02840000000003,0.006119172642323423,0.006119172642323423
Annie,Irelia,0.5343,0.5282353365470899,466.0,248.9838,-0.006064663452910124,0.006064663452910124
Irelia,Annie,0.4657,0.47175547788984606,466.0,217.0162,0.0060554778898460615,0.0060554778898460615
Annie,Vel'Koz,0.5196999999999999,0.5137042567952975,229.0,119.01129999999999,-0.0059957432047024195,0.0059957432047024195
Ekko,Irelia,0.5418,0.5358077370854626,598.0,323.9964,-0.005992262914537361,0.005992262914537361
Irelia,Ekko,0.4582,0.4641848144493595,598.0,274.0036,0.005984814449359499,0.005984814449359499
Vel'Koz,Annie,0.48029999999999995,0.4862799406858751,229.0,109.9887,0.005979940685875151,0.005979940685875151
Naafiri,Akshan,0.5329999999999999,0.5270386290354745,454.0,241.98199999999997,-0.005961370964525425,0.005961370964525425
Akshan,Naafiri,0.467,0.47295198643619657,454.0,212.018,0.0059519864361965436,0.0059519864361965436
Ekko,Aurora,0.5524,0.5464560096209217,782.0,431.9768,-0.005943990379078334,0.005943990379078334
Aurora,Ekko,0.44759999999999994,0.4535380957887221,782.0,350.0232,0.005938095788722175,0.005938095788722175
Galio,Ryze,0.5642,0.5582641409294389,982.0,554.0444,-0.005935859070561156,0.005935859070561156
Ryze,Galio,0.43579999999999997,0.4417310540532836,982.0,427.95559999999995,0.005931054053283646,0.005931054053283646
Diana,Kassadin,0.5452,0.539280367127818,664.0,362.0128,-0.005919632872182001,0.005919632872182001
Kassadin,Diana,0.4548,0.4607128278608022,664.0,301.9872,0.005912827860802217,0.005912827860802217
Akali,Ziggs,0.5303,0.524388499972033,413.0,219.0139,-0.0059115000279670316,0.0059115000279670316
Lux,Brand,0.5343,0.5283919113350308,481.0,256.9983,-0.005908088664969169,0.005908088664969169
Brand,Lux,0.4657,0.47159914025069344,481.0,224.0017,0.005899140250693435,0.005899140250693435
Irelia,Swain,0.5195000000000001,0.5136009078116403,231.0,120.00450000000002,-0.005899092188359822,0.005899092188359822
Swain,Irelia,0.4805,0.4863833851530299,231.0,110.99549999999999,0.005883385153029941,0.005883385153029941
Zoe,Azir,0.5398,0.5339259594183671,578.0,312.0044,-0.005874040581632878,0.005874040581632878
Azir,Zoe,0.46020000000000005,0.4660663723977182,578.0,265.9956,0.005866372397718145,0.005866372397718145
Taliyah,Ryze,0.5307,0.5248362604688033,424.0,225.0168,-0.005863739531196677,0.005863739531196677
Ryze,Taliyah,0.46930000000000005,0.4751538177207117,424.0,198.9832,0.00585381772071164,0.00585381772071164
Pantheon,Galio,0.5226,0.5167534896270101,287.0,149.9862,-0.005846510372989888,0.005846510372989888
Ahri,Pantheon,0.5372,0.531365204522967,538.0,289.0136,-0.005834795477033028,0.005834795477033028
Galio,Pantheon,0.4774,0.48323307619031763,287.0,137.0138,0.005833076190317643,0.005833076190317643
Pantheon,Ahri,0.4628,0.4686266465292366,538.0,248.9864,0.00582664652923659,0.00582664652923659
Yone,Annie,0.43119999999999997,0.43701352534712834,1083.0,466.9896,0.005813525347128368,0.005813525347128368
LeBlanc,Malphite,0.5174,0.5116106328427006,201.0,103.9974,-0.0057893671572993854,0.0057893671572993854
Malphite,LeBlanc,0.48260000000000003,0.48837209463672054,201.0,97.0026,0.005772094636720515,0.005772094636720515
Annie,Yone,0.5679,0.5621581576379144,1083.0,615.0356999999999,-0.005741842362085525,0.005741842362085525
Fizz,Swain,0.5251,0.5193765386916922,339.0,178.0089,-0.005723461308307809,0.005723461308307809
Irelia,Akshan,0.5392,0.5334819249061996,586.0,315.9712,-0.005718075093800401,0.005718075093800401
Swain,Fizz,0.47490000000000004,0.4806116184183438,339.0,160.99110000000002,0.005711618418343778,0.005711618418343778
Akshan,Irelia,0.4608,0.466510496334771,586.0,270.0288,0.005710496334770998,0.005710496334770998
Cassiopeia,Ryze,0.5411,0.5353959784821816,621.0,336.0231,-0.005704021517818458,0.005704021517818458
Ryze,Cassiopeia,0.4589,0.4645968106597128,621.0,284.9769,0.0056968106597128365,0.0056968106597128365
Pantheon,Syndra,0.5182,0.5125043765176653,220.0,114.004,-0.005695623482334655,0.005695623482334655
Talon,Lissandra,0.42419999999999997,0.4298844714821102,1233.0,523.0386,0.005684471482110209,0.005684471482110209
Syndra,Pantheon,0.48179999999999995,0.4874793765176653,220.0,105.996,0.005679376517665369,0.005679376517665369
Swain,Vladimir,0.5222,0.5165445304978445,293.0,153.0046,-0.005655469502155452,0.005655469502155452
Vladimir,Swain,0.47779999999999995,0.4834422404215086,293.0,139.9954,0.005642240421508626,0.005642240421508626
Lissandra,Talon,0.575,0.5693716432750583,1233.0,708.9749999999999,-0.005628356724941663,0.005628356724941663
Naafiri,Jayce,0.5124,0.5067773777631353,121.0,62.0004,-0.005622622236864716,0.005622622236864716
Jayce,Naafiri,0.4875999999999999,0.4931990972201489,121.0,58.999599999999994,0.005599097220148952,0.005599097220148952
Ziggs,Qiyana,0.5136999999999999,0.5081203271774508,146.0,75.00019999999999,-0.00557967282254912,0.00557967282254912
Cho'Gath,Mel,0.5196999999999999,0.51412768498772,254.0,132.00379999999998,-0.005572315012279949,0.005572315012279949
Lux,Azir,0.5451,0.5395288894884605,710.0,387.021,-0.005571110511539579,0.005571110511539579
Azir,Lux,0.4549000000000001,0.46046469195759626,710.0,322.97900000000004,0.0055646919575961795,0.0055646919575961795
Qiyana,Ziggs,0.48630000000000007,0.4918585385595647,146.0,70.99980000000001,0.005558538559564619,0.005558538559564619
Mel,Cho'Gath,0.4803,0.4858576284905449,254.0,121.9962,0.005557628490544919,0.005557628490544919
Veigar,Galio,0.5705,0.564951141216092,1171.0,668.0555,-0.005548858783907984,0.005548858783907984
Naafiri,Ryze,0.5382,0.5326519600662597,589.0,316.9998,-0.005548039933740312,0.005548039933740312
Galio,Veigar,0.42950000000000005,0.4350447682813949,1171.0,502.94450000000006,0.00554476828139483,0.00554476828139483
Ryze,Naafiri,0.4618,0.4673404941736617,589.0,272.0002,0.005540494173661703,0.005540494173661703
Brand,Akshan,0.5195000000000001,0.5140151699035195,256.0,132.99200000000002,-0.005484830096480597,0.005484830096480597
Akshan,Brand,0.4805,0.48597022608329465,256.0,123.008,0.005470226083294671,0.005470226083294671
Sion,Viktor,0.5456,0.5401358089648538,735.0,401.01599999999996,-0.005464191035146171,0.005464191035146171
Ziggs,Vel'Koz,0.4878,0.4932591950029278,123.0,59.9994,0.005459195002927797,0.005459195002927797
Viktor,Sion,0.45439999999999997,0.4598579646534765,735.0,333.984,0.0054579646534765325,0.0054579646534765325
Brand,Annie,0.5158,0.510342760295355,190.0,98.00200000000001,-0.005457239704645067,0.005457239704645067
Jayce,Vladimir,0.5135000000000001,0.5080459697002133,148.0,75.998,-0.00545403029978675,0.00545403029978675
Annie,Brand,0.4842,0.4896393120194928,190.0,91.998,0.00543931201949277,0.00543931201949277
Vladimir,Jayce,0.4865,0.4919330664744069,148.0,72.002,0.005433066474406889,0.005433066474406889
Annie,Zoe,0.5427000000000001,0.5372984835469696,691.0,375.00570000000005,-0.005401516453030442,0.005401516453030442
Zoe,Annie,0.45730000000000004,0.4626949437239607,691.0,315.9943,0.005394943723960655,0.005394943723960655
Zoe,Talon,0.5408,0.5354422578551875,662.0,358.0096,-0.0053577421448124385,0.0053577421448124385
Galio,Nasus,0.5156000000000001,0.5102486318001813,192.0,98.99520000000001,-0.00535136819981874,0.00535136819981874
Talon,Zoe,0.45920000000000005,0.4645509192725104,662.0,303.9904,0.005350919272510357,0.005350919272510357
Nasus,Galio,0.4844,0.4897335633070305,192.0,93.0048,0.005333563307030498,0.005333563307030498
LeBlanc,Vel'Koz,0.5246999999999999,0.5193711217363209,364.0,190.99079999999998,-0.005328878263679004,0.005328878263679004
Irelia,Vladimir,0.5477000000000001,0.5423734380420234,796.0,435.96920000000006,-0.00532656195797665,0.00532656195797665
Vladimir,Irelia,0.4523,0.4576207594705948,796.0,360.0308,0.005320759470594794,0.005320759470594794
Cho'Gath,Azir,0.5104,0.5050806147227188,96.0,48.9984,-0.005319385277281152,0.005319385277281152
Vel'Koz,LeBlanc,0.4753,0.4806176734604588,364.0,173.0092,0.005317673460458805,0.005317673460458805
Vex,Qiyana,0.5388000000000001,0.5334886463552024,631.0,339.98280000000005,-0.005311353644797623,0.005311353644797623
Qiyana,Vex,0.4612,0.4665042414304417,631.0,291.0172,0.005304241430441725,0.005304241430441725
Azir,Cho'Gath,0.48960000000000004,0.49489285962067814,96.0,47.0016,0.005292859620678103,0.005292859620678103
LeBlanc,Cassiopeia,0.5257999999999999,0.5205077878804362,388.0,204.01039999999998,-0.005292212119563766,0.005292212119563766
Vex,Azir,0.5336,0.5283128938453662,536.0,286.0096,-0.005287106154633792,0.005287106154633792
Cassiopeia,LeBlanc,0.4742,0.4794815583722396,388.0,183.9896,0.005281558372239592,0.005281558372239592
Azir,Vex,0.4664,0.4716789315812152,536.0,249.9904,0.005278931581215229,0.005278931581215229
Anivia,Vex,0.5489,0.5436334773796049,829.0,455.03810000000004,-0.005266522620395175,0.005266522620395175
Ekko,Naafiri,0.5313,0.5260351268666436,495.0,262.9935,-0.00526487313335644,0.00526487313335644
Vex,Anivia,0.4511,0.4563609262493573,829.0,373.9619,0.005260926249357312,0.005260926249357312
Naafiri,Lux,0.5465,0.5412428254075174,785.0,429.0025,-0.005257174592482539,0.005257174592482539
Naafiri,Ekko,0.46869999999999995,0.47395613527000485,495.0,232.0065,0.0052561352700049024,0.0052561352700049024
Lux,Naafiri,0.4535,0.4587512999837886,785.0,355.9975,0.005251299983788593,0.005251299983788593
Vel'Koz,Lissandra,0.5316,0.5263811889202193,506.0,268.9896,-0.005218811079780616,0.005218811079780616
Aurelion Sol,Taliyah,0.5212,0.5159847677780169,307.0,160.0084,-0.005215232221983057,0.005215232221983057
Lissandra,Vel'Koz,0.46840000000000004,0.4736102318245098,506.0,237.01040000000003,0.005210231824509748,0.005210231824509748
Taliyah,Aurelion Sol,0.4788,0.4840024581957074,307.0,146.9916,0.005202458195707416,0.005202458195707416
Cho'Gath,Zed,0.5243,0.519124256352453,370.0,193.99099999999999,-0.005175743647547026,0.005175743647547026
Hwei,Vladimir,0.5464,0.5412300673559609,798.0,436.0272,-0.005169932644039088,0.005169932644039088
Zed,Cho'Gath,0.4757,0.48086468188436793,370.0,176.00900000000001,0.0051646818843679165,0.0051646818843679165
Vladimir,Hwei,0.4536,0.4587641430797917,798.0,361.9728,0.005164143079791683,0.005164143079791683
Taliyah,Lux,0.5224,0.5172445988175929,335.0,175.004,-0.005155401182407093,0.005155401182407093
Lux,Taliyah,0.47759999999999997,0.4827434493923055,335.0,159.99599999999998,0.0051434493923055435,0.0051434493923055435
Cassiopeia,Aurora,0.5247999999999999,0.51966004241336,383.0,200.99839999999998,-0.005139957586639987,0.005139957586639987
Aurora,Cassiopeia,0.4752,0.4803291935520764,383.0,182.0016,0.0051291935520764165,0.0051291935520764165
Cho'Gath,Swain,0.5082,0.5030906862462913,61.0,31.0002,-0.005109313753708711,0.005109313753708711
Swain,Diana,0.5223,0.517191076626208,337.0,176.0151,-0.005108923373791985,0.005108923373791985
Zoe,Vladimir,0.5421,0.5369938187704885,725.0,393.02250000000004,-0.005106181229511564,0.005106181229511564
Vladimir,Zoe,0.4579,0.46299987937654896,725.0,331.97749999999996,0.005099879376548988,0.005099879376548988
Diana,Swain,0.4777,0.48279702628295856,337.0,160.9849,0.00509702628295855,0.00509702628295855
Diana,Azir,0.5357,0.530618066124684,603.0,323.02709999999996,-0.005081933875315969,0.005081933875315969
Swain,Cho'Gath,0.4918,0.49687702165001807,61.0,29.9998,0.005077021650018054,0.005077021650018054
Azir,Diana,0.4643,0.46937453838641946,603.0,279.9729,0.005074538386419469,0.005074538386419469
Jayce,Sylas,0.5273,0.5222396305289869,440.0,232.012,-0.005060369471013071,0.005060369471013071
Sylas,Jayce,0.4727,0.477750741640098,440.0,207.988,0.005050741640098,0.005050741640098
Galio,Azir,0.5344,0.5293522001255908,582.0,311.0208,-0.005047799874409176,0.005047799874409176
Azir,Galio,0.46559999999999996,0.4706401766651802,582.0,270.9792,0.0050401766651802515,0.0050401766651802515
Xerath,Ziggs,0.537,0.5319624496403441,635.0,340.995,-0.005037550359655918,0.005037550359655918
Kassadin,Taliyah,0.5169,0.5118625014453956,236.0,121.98840000000001,-0.005037498554604447,0.005037498554604447
Ziggs,Xerath,0.46299999999999997,0.46803047685122845,635.0,294.005,0.0050304768512284825,0.0050304768512284825
Taliyah,Kassadin,0.48310000000000003,0.4881220252549194,236.0,114.0116,0.005022025254919349,0.005022025254919349
Vel'Koz,Vex,0.5233,0.5182836569583934,365.0,191.0045,-0.005016343041606586,0.005016343041606586
Pantheon,Naafiri,0.5128,0.5077898456470817,156.0,79.99680000000001,-0.005010154352918295,0.005010154352918295
Vex,Vel'Koz,0.47669999999999996,0.4817051623347374,365.0,173.9955,0.005005162334737467,0.005005162334737467
Lux,Ryze,0.5478000000000001,0.5428077249328319,858.0,470.01240000000007,-0.00499227506716815,0.00499227506716815
Anivia,Ryze,0.5647,0.55970956089873,1197.0,675.9458999999999,-0.00499043910126995,0.00499043910126995
Naafiri,Pantheon,0.48719999999999997,0.4921898456470816,156.0,76.00319999999999,0.004989845647081659,0.004989845647081659
Ryze,Lux,0.4522,0.4571868481061095,858.0,387.9876,0.004986848106109498,0.004986848106109498
Ryze,Anivia,0.4353000000000001,0.4402864305980362,1197.0,521.0541000000001,0.004986430598036107,0.004986430598036107
Brand,Sylas,0.5341,0.5291253651394358,586.0,312.9826,-0.004974634860564264,0.004974634860564264
Sylas,Brand,0.46590000000000004,0.4708670561015349,586.0,273.0174,0.004967056101534861,0.004967056101534861
Swain,Ekko,0.5184000000000001,0.5134467754990669,272.0,141.00480000000002,-0.004953224500933162,0.004953224500933162
Malphite,Akali,0.5219,0.5169505654303678,343.0,179.01170000000002,-0.004949434569632261,0.004949434569632261
Ekko,Swain,0.4815999999999999,0.48653924861734643,272.0,130.99519999999998,0.0049392486173465144,0.0049392486173465144
Akali,Malphite,0.4781,0.48303769861321194,343.0,163.9883,0.004937698613211916,0.004937698613211916
Orianna,Pantheon,0.5158,0.5108697834444017,221.0,113.99180000000001,-0.004930216555598332,0.004930216555598332
Taliyah,Yone,0.5315,0.5265740632588327,540.0,287.01,-0.004925936741167258,0.004925936741167258
Naafiri,LeBlanc,0.5496,0.5446767861960842,908.0,499.03679999999997,-0.004923213803915805,0.004923213803915805
LeBlanc,Naafiri,0.45039999999999997,0.45531805603735404,908.0,408.9632,0.004918056037354068,0.004918056037354068
Yone,Taliyah,0.4685,0.4734178132588327,540.0,252.99,0.004917813258832671,0.004917813258832671
Pantheon,Orianna,0.4842,0.4891140202045262,221.0,107.0082,0.004914020204526193,0.004914020204526193
Brand,Yasuo,0.5392,0.5343028720170448,701.0,377.9792,-0.004897127982955163,0.004897127982955163
Yasuo,Brand,0.4608,0.46569063731042815,701.0,323.0208,0.004890637310428159,0.004890637310428159
Irelia,Naafiri,0.5318,0.5269112142636758,551.0,293.02180000000004,-0.00488878573632423,0.00488878573632423
Naafiri,Irelia,0.4682,0.473080799517132,551.0,257.9782,0.004880799517131995,0.004880799517131995
Naafiri,Hwei,0.5345,0.5296234470136341,608.0,324.976,-0.004876552986365912,0.004876552986365912
Jayce,Orianna,0.5182,0.5133267392664516,274.0,141.9868,-0.004873260733548435,0.004873260733548435
Hwei,Naafiri,0.4655,0.47036920972549845,608.0,283.024,0.004869209725498425,0.004869209725498425
Ziggs,Syndra,0.5262,0.5213343237210629,439.0,231.0018,-0.004865676278937081,0.004865676278937081
Hwei,Ryze,0.5523,0.5474369892989339,976.0,539.0448,-0.004863010701066095,0.004863010701066095
Nasus,Taliyah,0.5079,0.503037426292349,63.0,31.997700000000002,-0.0048625737076509745,0.0048625737076509745
Orianna,Jayce,0.48180000000000006,0.4866593595873072,274.0,132.0132,0.004859359587307155,0.004859359587307155
Ryze,Hwei,0.44770000000000004,0.45255817889001204,976.0,436.95520000000005,0.004858178890011999,0.004858178890011999
Syndra,Ziggs,0.4738,0.47865603058562695,439.0,207.9982,0.004856030585626947,0.004856030585626947
Vladimir,Taliyah,0.5174,0.5125459623555791,259.0,134.0066,-0.004854037644420828,0.004854037644420828
Taliyah,Vladimir,0.4826,0.4874395556703423,259.0,124.9934,0.004839555670342333,0.004839555670342333
Taliyah,Nasus,0.4921,0.49693067782609146,63.0,31.002299999999998,0.0048306778260914784,0.0048306778260914784
Pantheon,Malzahar,0.5202,0.515395725619128,321.0,166.9842,-0.004804274380871942,0.004804274380871942
Qiyana,Syndra,0.5374,0.5326079391621676,681.0,365.9694,-0.004792060837832346,0.004792060837832346
Malzahar,Pantheon,0.47979999999999995,0.48459192514406857,321.0,154.01579999999998,0.004791925144068621,0.004791925144068621
Vex,Galio,0.5422,0.5374124722059557,782.0,424.0004,-0.004787527794044344,0.004787527794044344
Syndra,Qiyana,0.4626,0.4673854039509,681.0,315.0306,0.004785403950899991,0.004785403950899991
Galio,Vex,0.4578,0.4625816332036881,782.0,357.9996,0.004781633203688129,0.004781633203688129
Sion,Katarina,0.5296,0.5248446235724765,523.0,276.9808,-0.004755376427523439,0.004755376427523439
Akshan,Aurelion Sol,0.5329,0.5281487741495713,593.0,316.0097,-0.004751225850428753,0.004751225850428753
Katarina,Sion,0.4704,0.4751470312771314,523.0,246.01919999999998,0.004747031277131442,0.004747031277131442
Aurelion Sol,Akshan,0.46709999999999996,0.4718437236445208,593.0,276.9903,0.004743723644520859,0.004743723644520859
Ziggs,Mel,0.5367999999999999,0.5320787185713498,680.0,365.02399999999994,-0.004721281428650137,0.004721281428650137
Mel,Ziggs,0.4632,0.4679146160072473,680.0,314.976,0.004714616007247319,0.004714616007247319
