pool,raw_rank,eb_rank,posterior_mean_rank,enemy_champion,enemy_frequency,best_pool_champion_against_enemy,raw_winrate,posterior_mean,posterior_lower_5,posterior_upper_95,games,weighted_contribution
"Pantheon, Sion, Vel'Koz",1,3,1,Ahri,0.06093079297319275,Vel'Koz,0.4978,0.49797893044086655,0.4743948879887753,0.5215667573135377,1115.0,0.030342251115704395
"Pantheon, Sion, Vel'Koz",1,3,1,Yasuo,0.045108816274074745,Sion,0.5809000000000001,0.5691203791639781,0.5379493354310545,0.6000624473456264,587.0,0.025672346621539645
"Pantheon, Sion, Vel'Koz",1,3,1,Viktor,0.040172281082463436,Sion,0.5456,0.5401358089648538,0.5117263083509704,0.568435932356507,735.0,0.02169848754043988
"Pantheon, Sion, Vel'Koz",1,3,1,Malzahar,0.03970587113499993,Sion,0.6137,0.6052129854370544,0.5831670787974179,0.6270802689347665,1240.0,0.02403050880899227
"Pantheon, Sion, Vel'Koz",1,3,1,Sylas,0.03704798828017873,Pantheon,0.5878,0.5740985967014866,0.5418637525019687,0.6060703441524171,541.0,0.02126919808226373
"Pantheon, Sion, Vel'Koz",1,3,1,Zed,0.036655317600110135,Sion,0.5699000000000001,0.5632467178740751,0.5380238668755344,0.5883326515812526,951.0,0.02064598733089385
"Pantheon, Sion, Vel'Koz",1,3,1,Akali,0.03597168557431083,Pantheon,0.5597,0.5506642972551481,0.5187738028282107,0.5823803481449961,561.0,0.019808322957861023
"Pantheon, Sion, Vel'Koz",1,3,1,Mel,0.03565021142827884,Sion,0.5624,0.5511924604769352,0.5164505102390287,0.5857252063083934,457.0,0.019650127753675965
"Pantheon, Sion, Vel'Koz",1,3,1,Katarina,0.03539739108292474,Sion,0.5296,0.5248446235724765,0.4919127066718225,0.5576857748544647,523.0,0.01857813039836537
"Pantheon, Sion, Vel'Koz",1,3,1,Xerath,0.03158111155952013,Sion,0.5593,0.5484542970487256,0.5133821439060924,0.5833248119887251,447.0,0.017320796340393994
"Pantheon, Sion, Vel'Koz",1,3,1,Yone,0.02974961704619383,Pantheon,0.5783999999999999,0.5651299500603264,0.5314873311097508,0.5985217339803646,491.0,0.016812399595629354
"Pantheon, Sion, Vel'Koz",1,3,1,Lissandra,0.028149148020863525,Vel'Koz,0.5316,0.5263811889202193,0.49299293685661233,0.5596703556899807,506.0,0.014817182002313382
"Pantheon, Sion, Vel'Koz",1,3,1,Fizz,0.026836371112660223,Sion,0.5281,0.5240059686836287,0.4926443640657159,0.5552880481330844,587.0,0.01406241864084287
"Pantheon, Sion, Vel'Koz",1,3,1,Veigar,0.025786585483244723,Vel'Koz,0.5568,0.5478791216415273,0.5153795417575304,0.5802076312728457,537.0,0.014127931804694278
"Pantheon, Sion, Vel'Koz",1,3,1,Syndra,0.025510880537664624,Vel'Koz,0.5165,0.5140517044231895,0.48240531223112226,0.5456507189571238,575.0,0.013113911621722872
"Pantheon, Sion, Vel'Koz",1,3,1,Twisted Fate,0.02379235603497782,Pantheon,0.5542,0.5386624655749367,0.4946986600369417,0.5823739613939727,249.0,0.012816049163637877
"Pantheon, Sion, Vel'Koz",1,3,1,LeBlanc,0.02351338186079412,Sion,0.5408,0.5335869266530969,0.499054425792687,0.5679843546130576,466.0,0.012546433162321811
"Pantheon, Sion, Vel'Koz",1,3,1,Orianna,0.02343673661241812,Vel'Koz,0.5582,0.5470241851931918,0.5110796544163607,0.582763253392703,421.0,0.01282046174899547
"Pantheon, Sion, Vel'Koz",1,3,1,Lux,0.022536609003528222,Vel'Koz,0.5466,0.5386024022052365,0.5045922910580192,0.5724618013241076,483.0,0.012138271746860461
"Pantheon, Sion, Vel'Koz",1,3,1,Diana,0.020140627684627016,Sion,0.5301,0.521868853785937,0.47890320452304824,0.5646984259902544,266.0,0.01051076628430561
"Pantheon, Sion, Vel'Koz",1,3,1,Galio,0.01935601281973512,Sion,0.5836,0.5623211208286334,0.5210236269611233,0.6032575079516952,293.0,0.01088429482356685
"Pantheon, Sion, Vel'Koz",1,3,1,Aurora,0.018871440491139816,Vel'Koz,0.5571,0.5448935907813097,0.506956087572803,0.5826127011484121,368.0,0.010282926972432977
"Pantheon, Sion, Vel'Koz",1,3,1,Vex,0.018509282611372618,Vel'Koz,0.5233,0.5182836569583934,0.4801603025377665,0.5563174925052372,365.0,0.009593058679498601
"Pantheon, Sion, Vel'Koz",1,3,1,Zoe,0.018373064752884517,Sion,0.5543,0.5391251410213768,0.49571937966183394,0.5822820017697066,258.0,0.009905381125893752
"Pantheon, Sion, Vel'Koz",1,3,1,Anivia,0.018325479314319316,Vel'Koz,0.5059,0.5049253297461397,0.47158732312523405,0.5382448981745117,508.0,0.009252998685538742
"Pantheon, Sion, Vel'Koz",1,3,1,Ryze,0.01811842816941722,Sion,0.5569,0.5437834112572647,0.5043814606010968,0.5829556630733053,334.0,0.009852500676585413
"Pantheon, Sion, Vel'Koz",1,3,1,Hwei,0.01766618487923652,Vel'Koz,0.5429999999999999,0.533884323062824,0.4960686881883863,0.5715365198710941,372.0,0.009431699155353884
"Pantheon, Sion, Vel'Koz",1,3,1,Aurelion Sol,0.016338514818505113,Pantheon,0.5067,0.5040096019426117,0.4520670026777204,0.5559156504123263,150.0,0.008234768350008224
"Pantheon, Sion, Vel'Koz",1,3,1,Ekko,0.016092232930358514,Pantheon,0.5729,0.5479253441289482,0.49990185708392526,0.5955749090702197,192.0,0.008817342266169882
"Pantheon, Sion, Vel'Koz",1,3,1,Vladimir,0.015987980862662215,Sion,0.5476,0.5322367757601706,0.48556929874663696,0.5786673642070923,210.0,0.008509391385258648
"Pantheon, Sion, Vel'Koz",1,3,1,Irelia,0.014251293978843713,Pantheon,0.6029,0.5695906164584237,0.5230686621723387,0.6155995392448387,209.0,0.008117403322739811
"Pantheon, Sion, Vel'Koz",1,3,1,Akshan,0.013596358515232613,Vel'Koz,0.5261,0.5186140415061687,0.4746142089565068,0.5624923992060651,249.0,0.007051262439351597
"Pantheon, Sion, Vel'Koz",1,3,1,Kassadin,0.013418730427764012,Pantheon,0.5836,0.5635458045219494,0.5234661147365332,0.6032785101574576,317.0,0.0075620692345774315
"Pantheon, Sion, Vel'Koz",1,3,1,Talon,0.013378409941651513,Vel'Koz,0.6026,0.5625117206470817,0.5113216896458401,0.6131452975039707,156.0,0.007525512395800416
"Pantheon, Sion, Vel'Koz",1,3,1,Annie,0.01262212839132521,Sion,0.5279,0.5184973080325014,0.47080563952249166,0.5660470903966579,197.0,0.006544539592542729
"Pantheon, Sion, Vel'Koz",1,3,1,Azir,0.01252804725706271,Pantheon,0.5526,0.5280084134843593,0.47183997760617574,0.5838784724389209,114.0,0.006614914356258762
"Pantheon, Sion, Vel'Koz",1,3,1,Naafiri,0.01218005603457831,Sion,0.53,0.5199913349521764,0.4725381969497393,0.5672926628966364,200.0,0.006333523597212688
"Pantheon, Sion, Vel'Koz",1,3,1,Qiyana,0.01102565508984381,Sion,0.5806,0.5524090926071781,0.5039102013177338,0.6004904849312382,186.0,0.0060906721235803336
"Pantheon, Sion, Vel'Koz",1,3,1,Cassiopeia,0.007161790127874006,Pantheon,0.5405,0.5172091981934075,0.45493852371644916,0.5792542661463518,74.0,0.003704143729667176
"Pantheon, Sion, Vel'Koz",1,3,1,Taliyah,0.006896619363350406,Vel'Koz,0.5726000000000001,0.5391317994730549,0.48337782229690746,0.5944746796774061,117.0,0.0037181868076438186
"Pantheon, Sion, Vel'Koz",1,3,1,Vel'Koz,0.006465807682905106,Sion,0.4598,0.4812834250569674,0.4214354104902627,0.5413597009983725,87.0,0.003111886067388224
"Pantheon, Sion, Vel'Koz",1,3,1,Swain,0.006087303660119305,Vel'Koz,0.4964,0.4979080189268055,0.4445924397367737,0.5512437166351035,137.0,0.003030917306015895
"Pantheon, Sion, Vel'Koz",1,3,1,Brand,0.006072410507591305,Vel'Koz,0.5547,0.531608862808662,0.4782378599517965,0.5846758853208622,137.0,0.003228147244447984
"Pantheon, Sion, Vel'Koz",1,3,1,Sion,0.005660487703523105,Vel'Koz,0.5402,0.5186887726505502,0.45861254071474633,0.5785370822784177,87.0,0.002936031419543931
"Pantheon, Sion, Vel'Koz",1,3,1,Smolder,0.0056009150934109055,Vel'Koz,0.6429,0.5652228287263745,0.504848814837743,0.6247884145842483,84.0,0.003165765072553958
"Pantheon, Sion, Vel'Koz",1,3,1,Ziggs,0.005131599164966304,Sion,0.5345,0.5126481043395753,0.447325979446466,0.5777875691978618,58.0,0.0026307045841505233
"Pantheon, Sion, Vel'Koz",1,3,1,Malphite,0.0047901463996893046,Sion,0.6552,0.5569556992762843,0.49171993472580355,0.6213689415536859,58.0,0.0026678993376747324
"Pantheon, Sion, Vel'Koz",1,3,1,Pantheon,0.004507902996901804,Sion,0.6579,0.5681693209412096,0.5064659248502762,0.6289892471121312,76.0,0.002561252184618542
"Pantheon, Sion, Vel'Koz",1,3,1,Jayce,0.003596877959332903,Vel'Koz,0.6,0.5310165550734683,0.4628069462183768,0.5987379280699775,45.0,0.0019100017429846449
"Pantheon, Sion, Vel'Koz",1,3,1,Nasus,0.003503886567938303,Vel'Koz,0.5957,0.5305802754126048,0.4628349214316797,0.5978508338747173,47.0,0.0018590931002312313
"Pantheon, Sion, Vel'Koz",1,3,1,Morgana,0.003282668765753603,Vel'Koz,0.4868,0.4942852300321187,0.4324840577025645,0.5561604671547684,76.0,0.001622574685999771
"Pantheon, Sion, Vel'Koz",1,3,1,Cho'Gath,0.0029285023336843028,Pantheon,0.6364,0.5338240638019015,0.46261351860423106,0.6044539501331272,33.0,0.0015633050166207066
"Pantheon, Sion, Xerath",4,1,2,Ahri,0.06093079297319275,Xerath,0.4972,0.49725203535652845,0.48598968542259385,0.5085155576153269,5231.0,0.030297960821807357
"Pantheon, Sion, Xerath",4,1,2,Yasuo,0.045108816274074745,Sion,0.5809000000000001,0.5691203791639781,0.5379493354310545,0.6000624473456264,587.0,0.025672346621539645
"Pantheon, Sion, Xerath",4,1,2,Viktor,0.040172281082463436,Sion,0.5456,0.5401358089648538,0.5117263083509704,0.568435932356507,735.0,0.02169848754043988
"Pantheon, Sion, Xerath",4,1,2,Malzahar,0.03970587113499993,Sion,0.6137,0.6052129854370544,0.5831670787974179,0.6270802689347665,1240.0,0.02403050880899227
"Pantheon, Sion, Xerath",4,1,2,Sylas,0.03704798828017873,Pantheon,0.5878,0.5740985967014866,0.5418637525019687,0.6060703441524171,541.0,0.02126919808226373
"Pantheon, Sion, Xerath",4,1,2,Zed,0.036655317600110135,Sion,0.5699000000000001,0.5632467178740751,0.5380238668755344,0.5883326515812526,951.0,0.02064598733089385
"Pantheon, Sion, Xerath",4,1,2,Akali,0.03597168557431083,Pantheon,0.5597,0.5506642972551481,0.5187738028282107,0.5823803481449961,561.0,0.019808322957861023
"Pantheon, Sion, Xerath",4,1,2,Mel,0.03565021142827884,Xerath,0.5676,0.566264837213357,0.5547968785600124,0.5777030414677158,4965.0,0.020187461171056072
"Pantheon, Sion, Xerath",4,1,2,Katarina,0.03539739108292474,Sion,0.5296,0.5248446235724765,0.4919127066718225,0.5576857748544647,523.0,0.01857813039836537
"Pantheon, Sion, Xerath",4,1,2,Xerath,0.03158111155952013,Sion,0.5593,0.5484542970487256,0.5133821439060924,0.5833248119887251,447.0,0.017320796340393994
"Pantheon, Sion, Xerath",4,1,2,Yone,0.02974961704619383,Pantheon,0.5783999999999999,0.5651299500603264,0.5314873311097508,0.5985217339803646,491.0,0.016812399595629354
"Pantheon, Sion, Xerath",4,1,2,Lissandra,0.028149148020863525,Sion,0.5171,0.5132942233014509,0.4745415067778254,0.5519796775101088,350.0,0.014448795069966717
"Pantheon, Sion, Xerath",4,1,2,Fizz,0.026836371112660223,Sion,0.5281,0.5240059686836287,0.4926443640657159,0.5552880481330844,587.0,0.01406241864084287
"Pantheon, Sion, Xerath",4,1,2,Veigar,0.025786585483244723,Xerath,0.5249,0.5239583303685882,0.5079836959693145,0.5399123777882856,2547.0,0.013511096275707778
"Pantheon, Sion, Xerath",4,1,2,Syndra,0.025510880537664624,Xerath,0.5513,0.5496127549262502,0.5347585249730464,0.5644298901305367,2942.0,0.014021105332900312
"Pantheon, Sion, Xerath",4,1,2,Twisted Fate,0.02379235603497782,Pantheon,0.5542,0.5386624655749367,0.4946986600369417,0.5823739613939727,249.0,0.012816049163637877
"Pantheon, Sion, Xerath",4,1,2,LeBlanc,0.02351338186079412,Sion,0.5408,0.5335869266530969,0.499054425792687,0.5679843546130576,466.0,0.012546433162321811
"Pantheon, Sion, Xerath",4,1,2,Orianna,0.02343673661241812,Xerath,0.5395,0.5378223261823654,0.5209119397400827,0.5546961974179605,2256.0,0.012604800203014122
"Pantheon, Sion, Xerath",4,1,2,Lux,0.022536609003528222,Sion,0.5375,0.5268694064749373,0.4831256365818426,0.5704398173179139,253.0,0.011873849809646642
"Pantheon, Sion, Xerath",4,1,2,Diana,0.020140627684627016,Sion,0.5301,0.521868853785937,0.47890320452304824,0.5646984259902544,266.0,0.01051076628430561
"Pantheon, Sion, Xerath",4,1,2,Galio,0.01935601281973512,Sion,0.5836,0.5623211208286334,0.5210236269611233,0.6032575079516952,293.0,0.01088429482356685
"Pantheon, Sion, Xerath",4,1,2,Aurora,0.018871440491139816,Pantheon,0.5472,0.5320634630950414,0.4855453606561519,0.5783474634736858,212.0,0.01004080398130784
"Pantheon, Sion, Xerath",4,1,2,Vex,0.018509282611372618,Xerath,0.514,0.513084465068964,0.4920757747866549,0.5340737262954733,1432.0,0.009496825367466396
"Pantheon, Sion, Xerath",4,1,2,Zoe,0.018373064752884517,Sion,0.5543,0.5391251410213768,0.49571937966183394,0.5822820017697066,258.0,0.009905381125893752
"Pantheon, Sion, Xerath",4,1,2,Anivia,0.018325479314319316,Xerath,0.5219,0.5208909804351831,0.5032561237417739,0.5385039691600553,2073.0,0.009545576886980456
"Pantheon, Sion, Xerath",4,1,2,Ryze,0.01811842816941722,Xerath,0.5633,0.5588870386659601,0.5372873925273131,0.580393331057226,1335.0,0.010126154664887503
"Pantheon, Sion, Xerath",4,1,2,Hwei,0.01766618487923652,Xerath,0.5336,0.53212840283836,0.514946207400583,0.5492786161821239,2185.0,0.009400678744035315
"Pantheon, Sion, Xerath",4,1,2,Aurelion Sol,0.016338514818505113,Pantheon,0.5067,0.5040096019426117,0.4520670026777204,0.5559156504123263,150.0,0.008234768350008224
"Pantheon, Sion, Xerath",4,1,2,Ekko,0.016092232930358514,Pantheon,0.5729,0.5479253441289482,0.49990185708392526,0.5955749090702197,192.0,0.008817342266169882
"Pantheon, Sion, Xerath",4,1,2,Vladimir,0.015987980862662215,Sion,0.5476,0.5322367757601706,0.48556929874663696,0.5786673642070923,210.0,0.008509391385258648
"Pantheon, Sion, Xerath",4,1,2,Irelia,0.014251293978843713,Pantheon,0.6029,0.5695906164584237,0.5230686621723387,0.6155995392448387,209.0,0.008117403322739811
"Pantheon, Sion, Xerath",4,1,2,Akshan,0.013596358515232613,Pantheon,0.5115,0.5072934324293902,0.4576611991210828,0.5568650150887202,174.0,0.006897343379732919
"Pantheon, Sion, Xerath",4,1,2,Kassadin,0.013418730427764012,Pantheon,0.5836,0.5635458045219494,0.5234661147365332,0.6032785101574576,317.0,0.0075620692345774315
"Pantheon, Sion, Xerath",4,1,2,Talon,0.013378409941651513,Sion,0.5920000000000001,0.5614265796865546,0.5142171857905065,0.6081710699609497,201.0,0.007510994935186008
"Pantheon, Sion, Xerath",4,1,2,Annie,0.01262212839132521,Sion,0.5279,0.5184973080325014,0.47080563952249166,0.5660470903966579,197.0,0.006544539592542729
"Pantheon, Sion, Xerath",4,1,2,Azir,0.01252804725706271,Xerath,0.6008,0.5942229618301715,0.5735301960441117,0.6147759084311893,1433.0,0.00744445334704016
"Pantheon, Sion, Xerath",4,1,2,Naafiri,0.01218005603457831,Sion,0.53,0.5199913349521764,0.4725381969497393,0.5672926628966364,200.0,0.006333523597212688
"Pantheon, Sion, Xerath",4,1,2,Qiyana,0.01102565508984381,Sion,0.5806,0.5524090926071781,0.5039102013177338,0.6004904849312382,186.0,0.0060906721235803336
"Pantheon, Sion, Xerath",4,1,2,Cassiopeia,0.007161790127874006,Xerath,0.5336,0.5290497976801798,0.4988202143374975,0.5591899235330278,639.0,0.003788943618179652
"Pantheon, Sion, Xerath",4,1,2,Taliyah,0.006896619363350406,Xerath,0.5759000000000001,0.5651456097530496,0.5343709173684426,0.5957103059550731,606.0,0.003897594155335354
"Pantheon, Sion, Xerath",4,1,2,Vel'Koz,0.006465807682905106,Xerath,0.5318,0.527856258346534,0.4989264862768066,0.5567074814126395,707.0,0.0034130170506865625
"Pantheon, Sion, Xerath",4,1,2,Swain,0.006087303660119305,Xerath,0.5025,0.5019948009713058,0.46524189475976285,0.5387386248129178,400.0,0.003055794789313492
"Pantheon, Sion, Xerath",4,1,2,Brand,0.006072410507591305,Xerath,0.5505,0.5426665123808572,0.5103478447519674,0.5748346264837024,545.0,0.003295293831899444
"Pantheon, Sion, Xerath",4,1,2,Sion,0.005660487703523105,Xerath,0.4407,0.45153619832843306,0.4166657683190331,0.4866083060927991,447.0,0.002555915098333665
"Pantheon, Sion, Xerath",4,1,2,Smolder,0.0056009150934109055,Xerath,0.6101,0.5878523242134401,0.5512925282908534,0.6240080876317922,395.0,0.003292510955383738
"Pantheon, Sion, Xerath",4,1,2,Ziggs,0.005131599164966304,Xerath,0.537,0.5319624496403441,0.5016569946143835,0.5621689417739864,635.0,0.0027298180623678194
