champion,enemy_champion,games,wins,losses,raw_winrate,prior_mean,prior_strength,posterior_alpha,posterior_beta,posterior_mean,posterior_sd,posterior_lower_5,posterior_upper_95
Malzahar,Ahri,6523.0,3243.2356,3279.7644,0.4972,0.49997400485652904,100.0,3293.233000485653,3329.766999514347,0.4972418844157713,0.0061433213706862345,0.4871373813464541,0.5073473345824888
Malzahar,Yasuo,5443.0,2980.0425,2462.9575,0.5475,0.49997400485652904,100.0,3030.039900485653,2512.960099514347,0.54664259435065,0.006685909301481258,0.535635545952546,0.5576305054116281
Malzahar,Viktor,4562.0,2256.8214,2305.1786,0.4947,0.49997400485652904,100.0,2306.818800485653,2355.181199514347,0.49481312751730006,0.007321733668062265,0.4827710227650064,0.5068577626460019
Malzahar,Mel,4234.0,2305.8363999999997,1928.1636000000003,0.5446,0.49997400485652904,100.0,2355.833800485653,1978.1661995143475,0.5435703277539577,0.007565197229482639,0.531115052963897,0.5560027382713838
Malzahar,Katarina,3924.0,1956.8988,1967.1012,0.4987,0.49997400485652904,100.0,2006.8962004856528,2017.1037995143472,0.4987316601604505,0.007881078705907487,0.48576856095473286,0.5116954762313142
Malzahar,Zed,3903.0,2022.1443,1880.8557,0.5181,0.49997400485652904,100.0,2072.141700485653,1930.8582995143472,0.5176471897291164,0.007896821157230095,0.5046528250105105,0.5306315279318732
Malzahar,Xerath,3837.0,1860.1775999999998,1976.8224000000002,0.48479999999999995,0.49997400485652904,100.0,1910.1750004856526,2026.8249995143474,0.4851854204941968,0.007964186728558698,0.4720895350589617,0.4982898641797367
Malzahar,Smolder,3743.0,1867.0084000000002,1875.9915999999998,0.4988,0.49997400485652904,100.0,1917.005800485653,1925.994199514347,0.4988305491765946,0.008064494070691956,0.4855657292631115,0.5120960611984884
Malzahar,Akali,3465.0,1820.8574999999998,1644.1425000000002,0.5255,0.49997400485652904,100.0,1870.8549004856527,1694.1450995143473,0.5247839833059335,0.008362673694532497,0.5110204243214678,0.5385317305813884
Malzahar,Sylas,3433.0,1877.1644,1555.8356,0.5468,0.49997400485652904,100.0,1927.1618004856527,1605.8381995143473,0.5454746109498027,0.008375930626127265,0.5316825227061501,0.5592374244543794
Malzahar,Twisted Fate,3283.0,1615.8926,1667.1074,0.49219999999999997,0.49997400485652904,100.0,1665.8900004856528,1717.1099995143472,0.49242979618257543,0.00859419185112394,0.47829584676092407,0.5065688351193647
Malzahar,Veigar,3239.0,1603.9528,1635.0472,0.49520000000000003,0.49997400485652904,100.0,1653.9502004856529,1685.0497995143471,0.49534297708465197,0.008651231474721466,0.4811142408026725,0.509574885589624
Malzahar,LeBlanc,3015.0,1676.0385,1338.9615,0.5559000000000001,0.49997400485652904,100.0,1726.035900485653,1388.964099514347,0.5541046229488452,0.008904584246077707,0.5394378139080608,0.5687319269256209
Malzahar,Yone,2930.0,1465.879,1464.121,0.5003,0.49997400485652904,100.0,1515.8764004856528,1514.1235995143472,0.5002892410843739,0.009081905183476714,0.4853503657115611,0.515227899338968
Malzahar,Lux,2891.0,1403.0023,1487.9977,0.4853,0.49997400485652904,100.0,1452.999700485653,1538.000299514347,0.4857906053111511,0.009137213332346338,0.470766262357557,0.5008257536203119
Malzahar,Fizz,2844.0,1348.056,1495.944,0.47400000000000003,0.49997400485652904,100.0,1398.053400485653,1545.946599514347,0.47488226918670273,0.009201924571687106,0.4597557814967592,0.4900281623253768
Malzahar,Syndra,2839.0,1462.085,1376.915,0.515,0.49997400485652904,100.0,1512.082400485653,1426.917599514347,0.514488737831117,0.009217516533550634,0.4993212891259103,0.5296449737834361
Malzahar,Lissandra,2612.0,1307.0448,1304.9552,0.5004,0.49997400485652904,100.0,1357.0422004856528,1354.9577995143472,0.5003842922144738,0.009599419680816054,0.48459406324633336,0.5161741988829254
Malzahar,Aurelion Sol,2608.0,1264.8799999999999,1343.1200000000001,0.48499999999999993,0.49997400485652904,100.0,1314.8774004856527,1393.1225995143473,0.4855529543890889,0.009602496039349368,0.4697638951699689,0.5013541480127028
Malzahar,Diana,2248.0,1081.9624000000001,1166.0375999999999,0.48130000000000006,0.49997400485652904,100.0,1131.959800485653,1216.040199514347,0.4820953153686767,0.01030979113356071,0.4651453647035299,0.49906261085849635
Malzahar,Orianna,2154.0,1184.9154,969.0845999999999,0.5501,0.49997400485652904,100.0,1234.912800485653,1019.087199514347,0.5478761315375568,0.010480853116648996,0.5306119778222095,0.565091971552907
Malzahar,Ryze,2134.0,1231.9581999999998,902.0418000000002,0.5772999999999999,0.49997400485652904,100.0,1281.9556004856527,952.0443995143473,0.5738386752397729,0.010460276409718415,0.5565949779622811,0.5910071918347659
Malzahar,Hwei,2104.0,1065.0448,1038.9552,0.5062,0.49997400485652904,100.0,1115.0422004856528,1088.9577995143472,0.5059175138319658,0.010647197006501763,0.4884007970189228,0.5234281235371692
Malzahar,Zoe,2062.0,1149.9774000000002,912.0225999999998,0.5577000000000001,0.49997400485652904,100.0,1199.974800485653,962.0251995143469,0.55502997247255,0.010685512033594706,0.5374243718980123,0.5725776764496651
Malzahar,Anivia,2028.0,972.0204,1055.9796000000001,0.4793,0.49997400485652904,100.0,1022.0178004856529,1105.9821995143473,0.4802715227846113,0.010827890226517853,0.46247116426634904,0.49809296921448004
Malzahar,Galio,1948.0,967.9612,980.0388,0.4969,0.49997400485652904,100.0,1017.9586004856528,1030.0413995143472,0.49705009789338517,0.011045654803268698,0.4788825999271799,0.5152208722349563
Malzahar,Ekko,1938.0,980.0466000000001,957.9533999999999,0.5057,0.49997400485652904,100.0,1030.044000485653,1007.955999514347,0.5054190385111152,0.01107224999588457,0.4872031285942631,0.5236289001099887
Malzahar,Vladimir,1892.0,1068.9799999999998,823.0200000000002,0.5649999999999998,0.49997400485652904,100.0,1118.9774004856527,873.0225995143473,0.5617356428140826,0.01111425654951493,0.5434184640194575,0.579982325502904
Malzahar,Aurora,1744.0,873.9184,870.0816,0.5011,0.49997400485652904,100.0,923.9158004856529,920.0841995143471,0.5010389373566447,0.011640479800157266,0.48189064954655814,0.5201859435531414
Malzahar,Irelia,1618.0,866.9243999999999,751.0756000000001,0.5357999999999999,0.49997400485652904,100.0,916.9218004856527,801.0781995143473,0.533714668501544,0.012032129788734653,0.5139004360621504,0.5534842599876104
Malzahar,Vex,1565.0,787.0385,777.9615,0.5029,0.49997400485652904,100.0,837.0359004856529,827.9640995143471,0.5027242645559477,0.012249717109275644,0.4825725248214794,0.5228722822819419
Malzahar,Akshan,1495.0,770.0745000000001,724.9254999999999,0.5151,0.49997400485652904,100.0,820.0719004856529,774.9280995143471,0.5141516617464909,0.012510640345252264,0.49356245702536766,0.53472068302722
