champion_name,champion_id,champion_key,icon_filename,local_path,ddragon_version,source_url
Gnar,Gnar,150,Gnar.png,assets/champion_icons/Gnar.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Gnar.png
Gragas,Gragas,79,Gragas.png,assets/champion_icons/Gragas.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Gragas.png
Graves,Graves,104,Graves.png,assets/champion_icons/Graves.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Graves.png
Gwen,Gwen,887,Gwen.png,assets/champion_icons/Gwen.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Gwen.png
Hecarim,Hecarim,120,Hecarim.png,assets/champion_icons/Hecarim.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Hecarim.png
Heimerdinger,Heimerdinger,74,Heimerdinger.png,assets/champion_icons/Heimerdinger.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Heimerdinger.png
Hwei,Hwei,910,Hwei.png,assets/champion_icons/Hwei.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Hwei.png
Illaoi,Illaoi,420,Illaoi.png,assets/champion_icons/Illaoi.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Illaoi.png
Irelia,Irelia,39,Irelia.png,assets/champion_icons/Irelia.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Irelia.png
Ivern,Ivern,427,Ivern.png,assets/champion_icons/Ivern.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Ivern.png
Janna,Janna,40,Janna.png,assets/champion_icons/Janna.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Janna.png
Jarvan IV,JarvanIV,59,JarvanIV.png,assets/champion_icons/JarvanIV.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/JarvanIV.png
Jax,Jax,24,Jax.png,assets/champion_icons/Jax.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Jax.png
Jayce,Jayce,126,Jayce.png,assets/champion_icons/Jayce.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Jayce.png
Jhin,Jhin,202,Jhin.png,assets/champion_icons/Jhin.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Jhin.png
Jinx,Jinx,222,Jinx.png,assets/champion_icons/Jinx.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Jinx.png
K'Sante,KSante,897,KSante.png,assets/champion_icons/KSante.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/KSante.png
Kai'Sa,Kaisa,145,Kaisa.png,assets/champion_icons/Kaisa.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kaisa.png
Kalista,Kalista,429,Kalista.png,assets/champion_icons/Kalista.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Kalista.png
Karma,Karma,43,Karma.png,assets/champion_icons/Karma.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Karma.png
Karthus,Karthus,30,Karthus.png,assets/champion_icons/Karthus.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Karthus.png
