pool_champion,Ahri,Yasuo,Malzahar,Viktor,Zed,Akali,Katarina,Sylas,Mel,Yone,Xerath,Veigar,Twisted Fate,Fizz,Syndra
Kayle,0.5042,0.5579999999999999,0.5514,0.5012,0.5139,0.47950000000000004,0.47369999999999995,0.48979999999999996,0.5375,0.5146000000000001,0.494,0.4778,0.49670000000000003,0.5302,0.5063
Nasus,0.46549999999999997,0.5586,0.5304,0.5581,0.5901,0.5482,0.5335,0.45840000000000003,0.5302,0.5011,0.5461,0.5405,0.5107,0.5652,0.5444
Sion,0.4728,0.5328,0.6022,0.48810000000000003,0.5399,0.5398,0.5276,0.5282,0.5479999999999999,0.4404,0.5069,0.48700000000000004,0.5506,0.5439,0.5276
