patch,pool_size,score,delta
16.05,1,0.5227362641532325,
16.05,2,0.5402550998117949,0.01751883565856238
16.05,3,0.5505084005398523,0.010253300728057413
16.05,4,0.5560742194400097,0.005565818900157393
16.05,5,0.5589158459734391,0.0028416265334294533
16.05,6,0.5610890982311553,0.0021732522577161406
16.05,7,0.5630351451531248,0.0019460469219695353
16.05,8,0.5644085935607391,0.0013734484076143305
