pool_rank,pool,pool_score,champion,covered_enemy_count,enemy_frequency_mass_covered,total_contribution,excess_contribution_over_50,total_marginal_lift,top5_marginal_lift_share,effective_matchups,median_matchup_games,min_matchup_games
64,"Katarina, Sion, Swain",0.5377448910467795,Katarina,11,0.15620156319981915,0.08407369437617267,0.0059729127762630915,0.006421930141664945,0.8441000393873999,5.832602562410123,585.0,309.0
64,"Katarina, Sion, Swain",0.5377448910467795,Sion,25,0.5656648176151852,0.30770971106290584,0.024877302255313267,0.022684086860540575,0.6146163910632015,10.385235642348924,293.0,38.0
64,"Katarina, Sion, Swain",0.5377448910467795,Swain,16,0.27813361918499574,0.14596148560770095,0.006894676015203068,0.004284123798803919,0.6881611870230302,8.359148650712898,256.5,51.0
65,"Malzahar, Sion, Vel'Koz",0.5377106079418796,Malzahar,18,0.29324617327710734,0.15689874692786837,0.010275660289314691,0.004472216956534466,0.6563452184265747,9.445363509629525,1915.0,309.0
65,"Malzahar, Sion, Vel'Koz",0.5377106079418796,Sion,17,0.40792272124777024,0.224011683554794,0.020050322930908904,0.016329556903991974,0.6764293399299351,7.571814623583797,330.0,58.0
65,"Malzahar, Sion, Vel'Koz",0.5377106079418796,Vel'Koz,17,0.29883110547512237,0.15680017745921715,0.007384624721655987,0.005975960696233535,0.65499178558872,8.744054882208442,365.0,45.0
66,"Akshan, Naafiri, Sion",0.5377101748352219,Akshan,12,0.18359515616560143,0.09733477001719126,0.005537191934390516,0.007439827358055937,0.8850337355477159,3.4197275857811866,287.0,120.0
66,"Akshan, Naafiri, Sion",0.5377101748352219,Naafiri,13,0.23271204670783244,0.12477670777083323,0.008420684416917044,0.003591266342029523,0.587754263384616,10.565805442063747,676.0,111.0
66,"Akshan, Naafiri, Sion",0.5377101748352219,Sion,27,0.5836927971265662,0.3155986970471974,0.02375229848391428,0.01926283017204785,0.5896192176802025,9.180401079818107,266.0,58.0
67,"Kassadin, Pantheon, Sion",0.5376963638334729,Kassadin,11,0.18891963981818738,0.09627884358245795,0.00181902367336426,0.004594876483396542,0.8521250192364167,4.100727273385038,414.0,107.0
67,"Kassadin, Pantheon, Sion",0.5376963638334729,Pantheon,14,0.2377223211668382,0.12956181910559958,0.010700658522180469,0.008470862707665203,0.8099442989756471,5.844422601673421,200.5,33.0
67,"Kassadin, Pantheon, Sion",0.5376963638334729,Sion,27,0.5733580390149745,0.3118557011454154,0.025176681637928133,0.016349731888472847,0.49398304441160906,11.802338050740612,266.0,38.0
68,"Pantheon, Sion, Ziggs",0.53769312572526,Pantheon,14,0.2388117007871209,0.13036690001549558,0.010961049621935096,0.008012748254756653,0.7267874774133725,7.011363972975568,200.5,33.0
68,"Pantheon, Sion, Ziggs",0.53769312572526,Sion,23,0.5240551656899547,0.28513414453742014,0.023106561692442733,0.014730010689193782,0.5276624670486909,10.025549186434372,266.0,58.0
68,"Pantheon, Sion, Ziggs",0.53769312572526,Ziggs,15,0.23713313352292442,0.12219208117234433,0.003625514410882107,0.004591638375183616,0.6576548943383156,6.817939980641317,165.0,44.0
69,"Katarina, Sion, Veigar",0.5376604741782571,Katarina,12,0.2180295778009206,0.11423493968805423,0.005220150787593921,0.005403644493173056,0.7494981722823989,6.454552253739938,1472.0,366.0
69,"Katarina, Sion, Veigar",0.5376604741782571,Sion,25,0.5405335308431742,0.2935569399495603,0.0232901745279732,0.018280313876312466,0.5846926790846216,10.463653201774278,258.0,38.0
69,"Katarina, Sion, Veigar",0.5376604741782571,Veigar,15,0.2414368913559052,0.1298685945406426,0.00915014886268997,0.00419970693028159,0.7004603978226039,8.216411800056232,1347.0,253.0
