scope_id,patch,rank_scope,rank_scope_type,champion,top_100_appearances,top_100_inclusion_frequency,best_pool_member,best_pool_rank_with_champion,mean_top_100_rank_with_champion
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Diana,2,0.02,False,89.0,91.5
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Ekko,1,0.01,False,92.0,92.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Fizz,12,0.12,False,3.0,45.833333333333336
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Galio,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Hwei,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Irelia,1,0.01,False,47.0,47.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Jayce,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Kassadin,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Katarina,9,0.09,False,18.0,51.666666666666664
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,LeBlanc,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Lissandra,5,0.05,False,38.0,61.8
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Lux,1,0.01,False,85.0,85.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Malphite,3,0.03,False,71.0,74.33333333333333
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Malzahar,2,0.02,False,60.0,74.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Mel,1,0.01,False,99.0,99.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Naafiri,16,0.16,False,4.0,41.1875
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Orianna,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Pantheon,11,0.11,False,5.0,44.81818181818182
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Qiyana,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Ryze,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Sion,100,1.0,True,1.0,50.5
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Swain,23,0.23,True,1.0,46.130434782608695
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Sylas,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Syndra,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Taliyah,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Talon,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Twisted Fate,1,0.01,False,70.0,70.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Veigar,10,0.1,False,15.0,48.7
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Vel'Koz,13,0.13,False,21.0,49.53846153846154
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Vex,12,0.12,False,2.0,43.0
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Viktor,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Vladimir,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Xerath,18,0.18,True,1.0,36.611111111111114
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Yasuo,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Yone,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Zed,0,0.0,False,,
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Ziggs,4,0.04,False,52.0,78.25
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,Zoe,1,0.01,False,90.0,90.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Ahri,1,0.01,False,92.0,92.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Akali,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Akshan,17,0.17,False,6.0,53.11764705882353
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Anivia,7,0.07,False,14.0,50.42857142857143
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Annie,7,0.07,False,15.0,60.857142857142854
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Aurelion Sol,18,0.18,False,2.0,45.27777777777778
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Aurora,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Azir,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Brand,2,0.02,False,23.0,54.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Cassiopeia,1,0.01,False,91.0,91.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Cho'Gath,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Diana,4,0.04,False,12.0,60.25
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Ekko,1,0.01,False,49.0,49.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Fizz,12,0.12,False,4.0,51.166666666666664
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Galio,0,0.0,False,,
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Hwei,2,0.02,False,13.0,49.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Irelia,2,0.02,False,37.0,68.5
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Jayce,1,0.01,False,93.0,93.0
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,Kassadin,1,0.01,False,61.0,61.0
