scope_id,patch,rank_scope,rank_scope_type,champion,best_pool_member,enemy_champion,marginal_contribution,weighted_eb_value,enemy_frequency,matchup_games,raw_winrate,eb_winrate,absolute_shrinkage,contribution_rank,top_matchup_set,mean_pairwise_top_matchup_jaccard,matchup_stability_label
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Malzahar,0.002719030227944555,0.02309818813569878,0.03877211728218962,1483.0,0.6022,0.5957422435196537,0.0064577564803462995,1.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Diana,0.0014478414777452874,0.012221425016119381,0.02131956763908031,371.0,0.593,0.5732491963728488,0.019750803627151203,2.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Xerath,0.0010510509245559628,0.01469105256808477,0.029056781533161817,432.0,0.5069,0.505598066713556,0.0013019332864440125,3.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Fizz,0.0008952081444977071,0.013782208901328478,0.025638825554928912,592.0,0.5439,0.5375522709416356,0.0063477290583644486,4.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Twisted Fate,0.000842636702729184,0.014074196231168913,0.025963460481197916,494.0,0.5506,0.5420770563831848,0.00852294361681516,5.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Kassadin,0.00047203122918161946,0.008459204943099721,0.01579172909410971,236.0,0.5508,0.5356731294393209,0.015126870560679073,6.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Zed,0.0004023304836221413,0.020013310497008528,0.03732152718243042,991.0,0.5399,0.5362403955010192,0.0036596044989808396,7.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Naafiri,0.0004011500231106228,0.007248848136466611,0.013582109290988006,286.0,0.5455,0.5337056256259374,0.01179437437406261,8.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Ryze,0.000398058158349623,0.01114486710552118,0.02002689483026211,387.0,0.5710999999999999,0.5564950133297982,0.014604986670201714,9.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Sion,True,Annie,0.00028647398418288323,0.006499552453620456,0.012071383504585607,186.0,0.5590999999999999,0.5384264737468943,0.02067352625310559,10.0,"Annie, Diana, Fizz, Kassadin, Malzahar, Naafiri, Ryze, Twisted Fate, Xerath, Zed",0.2940073465283549,unstable
