bin_start,bin_end,count
31.0,602.1,1212
602.1,1173.2,542
1173.2,1744.3000000000002,312
1744.3000000000002,2315.4,246
2315.4,2886.5,142
2886.5,3457.6000000000004,120
3457.6000000000004,4028.7000000000003,86
4028.7000000000003,4599.8,46
4599.8,5170.900000000001,44
5170.900000000001,5742.0,22
5742.0,6313.1,24
6313.1,6884.200000000001,12
6884.200000000001,7455.3,10
7455.3,8026.400000000001,2
8026.400000000001,8597.5,6
8597.5,9168.6,4
9168.6,9739.7,10
9739.7,10310.800000000001,2
10310.800000000001,10881.9,4
10881.9,11453.0,2
11453.0,12024.1,4
12024.1,12595.2,0
12595.2,13166.300000000001,0
13166.300000000001,13737.400000000001,0
13737.400000000001,14308.5,2
14308.5,14879.6,2
14879.6,15450.7,0
15450.7,16021.800000000001,0
16021.800000000001,16592.9,2
16592.9,17164.0,2
