champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Akshan,akshan,mid,16.06,plat_plus,48.63,6628,6628,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=akshan,2026-04-07
Ahri,ahri,Azir,azir,mid,16.06,plat_plus,56.4,6544,6544,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=azir,2026-04-07
Ahri,ahri,Aurelion Sol,aurelionsol,mid,16.06,plat_plus,51.41,6460,6460,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=aurelionsol,2026-04-07
Ahri,ahri,Vladimir,vladimir,mid,16.06,plat_plus,51.11,6255,6255,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=vladimir,2026-04-07
Ahri,ahri,Kassadin,kassadin,mid,16.06,plat_plus,50.74,5875,5875,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=kassadin,2026-04-07
Ahri,ahri,Irelia,irelia,mid,16.06,plat_plus,51.64,5779,5779,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=irelia,2026-04-07
Ahri,ahri,Naafiri,naafiri,mid,16.06,plat_plus,49.42,5330,5330,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=naafiri,2026-04-07
Ahri,ahri,Qiyana,qiyana,mid,16.06,plat_plus,50.22,5068,5068,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=qiyana,2026-04-07
Ahri,ahri,Talon,talon,mid,16.06,plat_plus,49.06,4963,4963,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=talon,2026-04-07
Ahri,ahri,Taliyah,taliyah,mid,16.06,plat_plus,53.81,3724,3724,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=taliyah,2026-04-07
Ahri,ahri,Swain,swain,mid,16.06,plat_plus,48.98,3483,3483,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=swain,2026-04-07
Ahri,ahri,Vel'Koz,velkoz,mid,16.06,plat_plus,51.06,2683,2683,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=velkoz,2026-04-07
Ahri,ahri,Brand,brand,mid,16.06,plat_plus,49.43,2565,2565,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=brand,2026-04-07
Ahri,ahri,Cassiopeia,cassiopeia,mid,16.06,plat_plus,52.91,2523,2523,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=cassiopeia,2026-04-07
Ahri,ahri,Ziggs,ziggs,mid,16.06,plat_plus,51.3,1959,1959,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=ziggs,2026-04-07
Ahri,ahri,Smolder,smolder,mid,16.06,plat_plus,55.4,1861,1861,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=smolder,2026-04-07
Ahri,ahri,Sion,sion,mid,16.06,plat_plus,51.58,1801,1801,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=sion,2026-04-07
Ahri,ahri,Jayce,jayce,mid,16.06,plat_plus,52.05,1585,1585,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=jayce,2026-04-07
Ahri,ahri,Morgana,morgana,mid,16.06,plat_plus,48.9,1456,1456,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=morgana,2026-04-07
Ahri,ahri,Malphite,malphite,mid,16.06,plat_plus,53.53,1358,1358,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=malphite,2026-04-07
Ahri,ahri,Pantheon,pantheon,mid,16.06,plat_plus,54.29,1330,1330,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=pantheon,2026-04-07
Ahri,ahri,Kog'Maw,kogmaw,mid,16.06,plat_plus,48.64,1326,1326,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=kogmaw,2026-04-07
Ahri,ahri,Cho'Gath,chogath,mid,16.06,plat_plus,55.2,1163,1163,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=chogath,2026-04-07
Ahri,ahri,Nasus,nasus,mid,16.06,plat_plus,54.33,1062,1062,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=nasus,2026-04-07
Xerath,xerath,Ahri,ahri,mid,16.06,plat_plus,49.65,13967,13967,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=ahri,2026-04-07
Xerath,xerath,Viktor,viktor,mid,16.06,plat_plus,53.14,12752,12752,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=viktor,2026-04-07
Xerath,xerath,Mel,mel,mid,16.06,plat_plus,56.69,12062,12062,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=mel,2026-04-07
Xerath,xerath,Malzahar,malzahar,mid,16.06,plat_plus,52.37,8679,8679,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=malzahar,2026-04-07
Xerath,xerath,Yasuo,yasuo,mid,16.06,plat_plus,50.49,7784,7784,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=yasuo,2026-04-07
Xerath,xerath,Syndra,syndra,mid,16.06,plat_plus,53.93,6989,6989,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=syndra,2026-04-07
Xerath,xerath,Zed,zed,mid,16.06,plat_plus,51.53,6910,6910,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=zed,2026-04-07
Xerath,xerath,Fizz,fizz,mid,16.06,plat_plus,46.69,6509,6509,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=fizz,2026-04-07
Xerath,xerath,Veigar,veigar,mid,16.06,plat_plus,53.5,6506,6506,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=veigar,2026-04-07
Xerath,xerath,Lux,lux,mid,16.06,plat_plus,53.14,6400,6400,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=lux,2026-04-07
Xerath,xerath,Sylas,sylas,mid,16.06,plat_plus,50.63,6241,6241,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=sylas,2026-04-07
Xerath,xerath,Katarina,katarina,mid,16.06,plat_plus,46.69,6098,6098,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=katarina,2026-04-07
Xerath,xerath,Twisted Fate,twistedfate,mid,16.06,plat_plus,49.36,5997,5997,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=twistedfate,2026-04-07
Xerath,xerath,Akali,akali,mid,16.06,plat_plus,48.31,5964,5964,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=akali,2026-04-07
Xerath,xerath,LeBlanc,leblanc,mid,16.06,plat_plus,49.23,5816,5816,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=leblanc,2026-04-07
Xerath,xerath,Orianna,orianna,mid,16.06,plat_plus,55.59,5645,5645,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=orianna,2026-04-07
Xerath,xerath,Lissandra,lissandra,mid,16.06,plat_plus,53.78,5400,5400,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=lissandra,2026-04-07
