"champion_j","enemy_total_games","f_j"
"Ahri",436204,0.0660598464614842
"Yasuo",302614,0.0458286360902137
"Viktor",258388,0.0391309378352559
"Malzahar",252502,0.038239546980811
"Sylas",242533,0.0367298161911472
"Zed",241553,0.0365814024912905
"Mel",241281,0.0365402101174528
"Katarina",237498,0.0359673029474961
"Akali",235277,0.0356309490420047
"Xerath",210647,0.0319009190139757
"Yone",197677,0.0299367091291387
"Fizz",177910,0.0269431442260104
"Veigar",173923,0.0263393427756754
"Lissandra",168946,0.025585613199975
"Twisted Fate",168657,0.0255418463027724
"Syndra",168501,0.0255182212648361
"LeBlanc",157245,0.0238135839121972
"Orianna",151248,0.0229053829346053
"Lux",146930,0.0222514539999309
"Diana",134412,0.020355696148089
"Galio",133100,0.0201570035213422
"Aurora",129245,0.0195731924877226
"Ryze",119227,0.0180560410130659
"Hwei",118625,0.0179648725974397
"Zoe",117939,0.01786098300754
"Anivia",114396,0.0173244220497931
"Vex",110238,0.0166947239232586
"Ekko",107542,0.016286434806102
"Aurelion Sol",105266,0.0159417515603126
"Vladimir",100456,0.0152133128906082
"Irelia",93977,0.0142321166034949
"Kassadin",91522,0.013860325141099
"Azir",90217,0.0136626926122083
"Akshan",87924,0.013315434843054
"Naafiri",86606,0.013115833561002
"Annie",81621,0.0123608924448946
"Qiyana",73392,0.0111146716937517
"Talon",68741,0.0104103123896362
"Taliyah",46423,0.00703041753922816
"Vel'Koz",42024,0.00636422175793301
"Cassiopeia",38702,0.00586112960392927
"Brand",38477,0.0058270550299826
"Swain",38175,0.00578131937961862
"Smolder",37654,0.00570241781061321
"Sion",33881,0.00513102506616525
"Ziggs",32389,0.0049050727802611
"Malphite",31800,0.00481587311779626
"Pantheon",28216,0.0042731030154635
"Jayce",23124,0.0035019575464126
"Nasus",20304,0.00307488955294765
"Morgana",19890,0.00301219233688577
"Cho'Gath",19688,0.0029816009416092
"Kog'Maw",18437,0.00279214631046571
