pool_champion,Ahri,Yasuo,Viktor,Malzahar,Sylas,Zed,Akali,Mel,Katarina,Xerath,Yone,Lissandra,Fizz,Veigar,Syndra
Anivia,0.5065999999999999,0.5385,0.4947,0.5207,0.5347,0.5377000000000001,0.511,0.5367000000000001,0.5136,0.4781,0.5464,0.4918,0.5127,0.4886,0.5088
Vex,0.49670000000000003,0.522,0.4815,0.4971,0.5590999999999999,0.508,0.5337,0.4771,0.5386,0.486,0.556,0.4918,0.507,0.4549,0.49119999999999997
Xerath,0.4972,0.5167,0.5378000000000001,0.5152,0.5073,0.5159,0.4861,0.5676,0.48810000000000003,0.5,0.5028,0.5104,0.47609999999999997,0.5249,0.5513
