patch,pool_size,optimized_pool,score,marginal_gain
16.07,1,Anivia,0.5156913528022633,
16.07,2,"Vex, Xerath",0.5279801485537478,0.01228879575148445
16.07,3,"Anivia, Vex, Xerath",0.5336112710651837,0.0056311225114359376
16.07,4,"Anivia, Vex, Yone, Xerath",0.5357144275417254,0.00210315647654169
16.07,5,"Anivia, Vex, Yone, Hwei, Xerath",0.5372108362941042,0.001496408752378775
16.07,6,"Anivia, Vex, Akali, Yone, Hwei, Xerath",0.5385288126198036,0.0013179763256994104
16.07,7,"Anivia, Vex, Akali, Yone, Taliyah, Hwei, Xerath",0.5393881764351822,0.0008593638153786554
16.07,8,"Ahri, Anivia, Vex, Akali, Yone, Taliyah, Hwei, Xerath",0.5396901194830405,0.0003019430478582441
