bin_start,bin_end,count
33.0,338.3666666666667,826
338.3666666666667,643.7333333333333,476
643.7333333333333,949.1,332
949.1,1254.4666666666667,230
1254.4666666666667,1559.8333333333335,200
1559.8333333333335,1865.2,132
1865.2,2170.5666666666666,110
2170.5666666666666,2475.9333333333334,84
2475.9333333333334,2781.3,56
2781.3,3086.666666666667,52
3086.666666666667,3392.0333333333333,24
3392.0333333333333,3697.4,24
3697.4,4002.766666666667,20
4002.766666666667,4308.133333333333,20
4308.133333333333,4613.5,8
4613.5,4918.866666666667,10
4918.866666666667,5224.233333333334,10
5224.233333333334,5529.6,6
5529.6,5834.966666666667,4
5834.966666666667,6140.333333333334,8
6140.333333333334,6445.7,0
6445.7,6751.066666666667,2
6751.066666666667,7056.433333333333,2
7056.433333333333,7361.8,0
7361.8,7667.166666666667,0
7667.166666666667,7972.533333333334,2
7972.533333333334,8277.9,0
8277.9,8583.266666666666,2
8583.266666666666,8888.633333333333,0
8888.633333333333,9194.0,2
