champion,champion_key,selection_advantage,observed_mix_weighted_advantage,general_mix_weighted_advantage,positive_selection_component,negative_selection_component,mean_absolute_frequency_delta,max_enrichment_ratio,recorded_matchup_games,recorded_matchup_coverage,top_positive_matchups,top_negative_matchups
Morgana,morgana,0.0010559606390481528,1.3183898417423734e-16,-0.001055960639048021,0.0020688807649429444,-0.0010129201258947914,0.0026717306211596174,2.0860711333351034,9037.0,0.773186173853525,Zoe:0.0009; Mel:0.0003; Lux:0.0002; Zed:0.0001; Lissandra:0.0001,Malzahar:-0.0002; Ahri:-0.0001; Anivia:-0.0001; Talon:-0.0001; Ryze:-0.0001
Annie,annie,0.0007983317037746059,9.161508357502512e-17,-0.0007983317037745142,0.0014776289306275671,-0.000679297226852961,0.002061060871456787,1.3883652550226966,34748.0,0.8048362440357623,Yasuo:0.0007; Aurelion Sol:0.0001; Malphite:0.0001; Fizz:0.0001; Katarina:0.0001,Ahri:-0.0001; Sylas:-0.0001; Lissandra:-0.0001; Ryze:-0.0001; Smolder:-0.0000
Cassiopeia,cassiopeia,0.0007234139159927399,1.3335686721571705e-16,-0.0007234139159926065,0.0016092820860759435,-0.0008858681700832031,0.002212682172096929,1.7259601131878544,19716.0,0.8141388280959656,Ryze:0.0005; Akali:0.0002; Sylas:0.0002; Vladimir:0.0001; Diana:0.0001,Akshan:-0.0002; Zed:-0.0001; Aurelion Sol:-0.0001; Yasuo:-0.0001; Fizz:-0.0001
Aurelion Sol,aurelionsol,0.0006086446273486654,1.3010426069826053e-17,-0.0006086446273486524,0.001589367023646839,-0.0009807223962981736,0.00240873484573994,1.4364440995401935,44979.0,0.7945837087286025,Mel:0.0005; Zed:0.0002; Ahri:0.0002; Akali:0.0001; Orianna:0.0001,Yone:-0.0004; Naafiri:-0.0001; Galio:-0.0001; Fizz:-0.0001; Talon:-0.0001
Sylas,sylas,0.0005966739552714862,-9.540979117872439e-18,-0.0005966739552714957,0.0013690127058938848,-0.0007723387506223985,0.002967797906057501,1.5334640712082628,101991.0,0.7971036013505064,Malzahar:0.0003; Malphite:0.0002; Twisted Fate:0.0001; Lux:0.0001; Veigar:0.0001,Syndra:-0.0002; Mel:-0.0001; Smolder:-0.0001; Vex:-0.0000; Galio:-0.0000
Orianna,orianna,0.0005897192921721224,7.26415455565288e-18,-0.0005897192921721151,0.001467117976542225,-0.000877398684370103,0.0025822963441148833,1.416288918457534,64520.0,0.8184389786003323,Viktor:0.0003; Ryze:0.0002; Katarina:0.0002; Malzahar:0.0002; Taliyah:0.0001,Yasuo:-0.0002; Ahri:-0.0002; Smolder:-0.0001; Twisted Fate:-0.0001; Aurelion Sol:-0.0001
Twisted Fate,twistedfate,0.0005831827938550612,-4.0223900599212215e-17,-0.0005831827938551015,0.0011562143192723755,-0.0005730315254173148,0.0023025214277317403,1.3022237245899615,65499.0,0.8132278811055101,Ryze:0.0002; Yasuo:0.0001; Akali:0.0001; Orianna:0.0001; Azir:0.0001,Sylas:-0.0002; Xerath:-0.0001; Malphite:-0.0001; Lissandra:-0.0000; Zed:-0.0000
Hwei,hwei,0.00022813474763208575,-1.929879867024198e-17,-0.00022813474763210505,0.0013352341884013141,-0.0011070994407692283,0.0021365745598328502,1.397472058407941,48634.0,0.8101750820436789,Yasuo:0.0002; Azir:0.0002; Zed:0.0002; Katarina:0.0002; Galio:0.0002,Xerath:-0.0004; Sylas:-0.0001; Viktor:-0.0001; Smolder:-0.0001; Malphite:-0.0001
Vladimir,vladimir,0.00010719452691284725,-2.42861286636753e-17,-0.00010719452691287153,0.0013774403388526618,-0.0012702458119398141,0.0024502755539291435,1.49216163795908,44014.0,0.8088429873566598,Yasuo:0.0005; Katarina:0.0003; Viktor:0.0001; Zoe:0.0001; Yone:0.0001,Malzahar:-0.0002; Anivia:-0.0001; Irelia:-0.0001; Sylas:-0.0001; Azir:-0.0001
Diana,diana,4.936198368494897e-06,4.7596475372113645e-17,-4.936198368447301e-06,0.0008487974941249849,-0.0008438612957564897,0.0018767102816374909,1.3754470602486373,55446.0,0.7816892472966686,Katarina:0.0002; Fizz:0.0001; Yasuo:0.0001; Akshan:0.0001; Twisted Fate:0.0001,Galio:-0.0002; Ryze:-0.0002; Smolder:-0.0001; Sylas:-0.0001; Kassadin:-0.0000
