champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Ahri,ahri,mid,16.10,emerald_plus,51.63,10.69,4.21,266877,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Xerath,xerath,mid,16.10,emerald_plus,52.46,6.1,8.43,156174,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Fizz,fizz,mid,16.10,emerald_plus,52.84,5.25,5.94,143391,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Katarina,katarina,mid,16.10,emerald_plus,51.96,7.19,10.38,187808,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Vladimir,vladimir,mid,16.10,emerald_plus,52.09,4.76,5.91,121397,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Viktor,viktor,mid,16.10,emerald_plus,50.45,10.54,6.88,264617,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Twisted Fate,twistedfate,mid,16.10,emerald_plus,51.83,5.0,1.04,135263,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Zed,zed,mid,16.10,emerald_plus,49.98,9.05,32.28,215626,https://op.gg/lol/champions/zed/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Lissandra,lissandra,mid,16.10,emerald_plus,51.77,4.89,2.98,129462,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Diana,diana,mid,16.10,emerald_plus,52.07,3.71,4.0,96263,https://op.gg/lol/champions/diana/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Malzahar,malzahar,mid,16.10,emerald_plus,50.49,6.78,10.38,177127,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Lux,lux,mid,16.10,emerald_plus,51.54,3.61,2.91,97768,https://op.gg/lol/champions/lux/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
Naafiri,naafiri,mid,16.10,emerald_plus,51.14,2.95,35.98,71256,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=emerald_plus&patch=16.10,2026-06-08
