champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Naafiri,naafiri,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.54,1.71,1.18,popular,181966,470179,https://lolalytics.com/lol/naafiri/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Diana,diana,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.87,1.85,1.08,popular,215497,507920,https://lolalytics.com/lol/diana/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Anivia,anivia,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.14,0.89,1.05,niche,106311,244066,https://lolalytics.com/lol/anivia/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Veigar,veigar,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.16,2.08,1.05,popular,249585,569640,https://lolalytics.com/lol/veigar/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Ahri,ahri,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,12.13,2.43,0.97,broad,314416,667576,https://lolalytics.com/lol/ahri/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Xerath,xerath,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.83,2.07,1.01,popular,257109,568240,https://lolalytics.com/lol/xerath/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Aurelion Sol,aurelionsol,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.0,0.83,1.28,niche,81686,227891,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Akali,akali,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.71,2.13,1.02,popular,262355,582739,https://lolalytics.com/lol/akali/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Zoe,zoe,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.25,0.79,1.22,niche,81714,216974,https://lolalytics.com/lol/zoe/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
Katarina,katarina,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.76,1.39,1.5,popular,116470,381849,https://lolalytics.com/lol/katarina/build/?lane=middle&patch=16.6&tier=platinum_plus,2026-04-07
