champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Viktor,viktor,Ahri,ahri,mid,16.11,master_plus,47.69,1191,1191,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=ahri,2026-06-08
Viktor,viktor,Xerath,xerath,mid,16.11,master_plus,48.14,968,968,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=xerath,2026-06-08
Viktor,viktor,Orianna,orianna,mid,16.11,master_plus,48.97,921,921,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=orianna,2026-06-08
Viktor,viktor,Akali,akali,mid,16.11,master_plus,48.34,904,904,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=akali,2026-06-08
Viktor,viktor,Sylas,sylas,mid,16.11,master_plus,48.32,892,892,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=sylas,2026-06-08
Viktor,viktor,Yone,yone,mid,16.11,master_plus,53.86,854,854,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=yone,2026-06-08
Viktor,viktor,Ryze,ryze,mid,16.11,master_plus,53.49,832,832,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=ryze,2026-06-08
Viktor,viktor,Twisted Fate,twistedfate,mid,16.11,master_plus,48.91,828,828,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=twistedfate,2026-06-08
Viktor,viktor,Galio,galio,mid,16.11,master_plus,47.88,779,779,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=galio,2026-06-08
Viktor,viktor,Zed,zed,mid,16.11,master_plus,46.25,733,733,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.11&target_champion=zed,2026-06-08
