champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Fizz,fizz,Zed,zed,mid,16.10,plat_plus,53.1,13125,13125,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-07
Fizz,fizz,Ahri,ahri,mid,16.10,plat_plus,51.45,12946,12946,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=ahri,2026-06-07
Fizz,fizz,Malzahar,malzahar,mid,16.10,plat_plus,53.31,10826,10826,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=malzahar,2026-06-07
Fizz,fizz,Katarina,katarina,mid,16.10,plat_plus,52.91,10567,10567,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=katarina,2026-06-07
Fizz,fizz,Yasuo,yasuo,mid,16.10,plat_plus,53.1,10126,10126,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=yasuo,2026-06-07
Fizz,fizz,Viktor,viktor,mid,16.10,plat_plus,51.85,9985,9985,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=viktor,2026-06-07
Fizz,fizz,Lissandra,lissandra,mid,16.10,plat_plus,47.53,9565,9565,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=lissandra,2026-06-07
Fizz,fizz,Sylas,sylas,mid,16.10,plat_plus,48.99,9259,9259,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-07
Fizz,fizz,Xerath,xerath,mid,16.10,plat_plus,52.71,8346,8346,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=xerath,2026-06-07
Fizz,fizz,Akali,akali,mid,16.10,plat_plus,49.93,8190,8190,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-07
Fizz,fizz,Veigar,veigar,mid,16.10,plat_plus,51.62,6866,6866,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=veigar,2026-06-07
Fizz,fizz,Galio,galio,mid,16.10,plat_plus,51.26,6525,6525,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=galio,2026-06-07
Fizz,fizz,Vladimir,vladimir,mid,16.10,plat_plus,49.66,6222,6222,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=vladimir,2026-06-07
Fizz,fizz,Yone,yone,mid,16.10,plat_plus,53.08,6160,6160,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=yone,2026-06-07
Fizz,fizz,Twisted Fate,twistedfate,mid,16.10,plat_plus,51.74,6036,6036,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-07
Fizz,fizz,Lux,lux,mid,16.10,plat_plus,52.5,5832,5832,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=lux,2026-06-07
Fizz,fizz,Diana,diana,mid,16.10,plat_plus,48.87,5756,5756,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=diana,2026-06-07
Fizz,fizz,Syndra,syndra,mid,16.10,plat_plus,56.17,5745,5745,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=syndra,2026-06-07
Fizz,fizz,Mel,mel,mid,16.10,plat_plus,59.42,4859,4859,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=mel,2026-06-07
Fizz,fizz,LeBlanc,leblanc,mid,16.10,plat_plus,51.82,4809,4809,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=leblanc,2026-06-07
Fizz,fizz,Naafiri,naafiri,mid,16.10,plat_plus,53.8,4141,4141,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=naafiri,2026-06-07
Fizz,fizz,Zoe,zoe,mid,16.10,plat_plus,52.9,4127,4127,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=zoe,2026-06-07
Fizz,fizz,Ekko,ekko,mid,16.10,plat_plus,50.87,4095,4095,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=ekko,2026-06-07
Fizz,fizz,Hwei,hwei,mid,16.10,plat_plus,54.08,3974,3974,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=hwei,2026-06-07
Fizz,fizz,Orianna,orianna,mid,16.10,plat_plus,55.08,3613,3613,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=orianna,2026-06-07
Fizz,fizz,Vex,vex,mid,16.10,plat_plus,50.49,3571,3571,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=vex,2026-06-07
Fizz,fizz,Annie,annie,mid,16.10,plat_plus,52.1,3376,3376,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=annie,2026-06-07
Fizz,fizz,Ryze,ryze,mid,16.10,plat_plus,51.72,3364,3364,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=ryze,2026-06-07
Fizz,fizz,Anivia,anivia,mid,16.10,plat_plus,51.77,3303,3303,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=anivia,2026-06-07
Fizz,fizz,Kassadin,kassadin,mid,16.10,plat_plus,49.7,3171,3171,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=kassadin,2026-06-07
Fizz,fizz,Aurora,aurora,mid,16.10,plat_plus,52.85,3160,3160,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=aurora,2026-06-07
Fizz,fizz,Talon,talon,mid,16.10,plat_plus,53.23,2991,2991,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=talon,2026-06-07
Fizz,fizz,Irelia,irelia,mid,16.10,plat_plus,54.76,2902,2902,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=irelia,2026-06-07
Fizz,fizz,Aurelion Sol,aurelionsol,mid,16.10,plat_plus,55.72,2658,2658,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=aurelionsol,2026-06-07
Fizz,fizz,Akshan,akshan,mid,16.10,plat_plus,51.96,2648,2648,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=akshan,2026-06-07
Fizz,fizz,Qiyana,qiyana,mid,16.10,plat_plus,53.21,2614,2614,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=qiyana,2026-06-07
Fizz,fizz,Brand,brand,mid,16.10,plat_plus,54.97,2334,2334,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=brand,2026-06-07
Fizz,fizz,Pantheon,pantheon,mid,16.10,plat_plus,48.73,2241,2241,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.10&target_champion=pantheon,2026-06-07
