champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Akshan,akshan,mid,16.10,emerald_plus,48.27,3257,3257,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=akshan,2026-06-08
Ahri,ahri,Naafiri,naafiri,mid,16.10,emerald_plus,49.0,2992,2992,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=naafiri,2026-06-08
Ahri,ahri,Vex,vex,mid,16.10,emerald_plus,51.22,2817,2817,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=vex,2026-06-08
Ahri,ahri,Qiyana,qiyana,mid,16.10,emerald_plus,50.69,2734,2734,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=qiyana,2026-06-08
Ahri,ahri,Kassadin,kassadin,mid,16.10,emerald_plus,50.96,2704,2704,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=kassadin,2026-06-08
Ahri,ahri,Talon,talon,mid,16.10,emerald_plus,49.07,2686,2686,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=talon,2026-06-08
Ahri,ahri,Irelia,irelia,mid,16.10,emerald_plus,53.67,2633,2633,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=irelia,2026-06-08
Ahri,ahri,Aurelion Sol,aurelionsol,mid,16.10,emerald_plus,51.77,2113,2113,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=aurelionsol,2026-06-08
Ahri,ahri,Taliyah,taliyah,mid,16.10,emerald_plus,51.84,2043,2043,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=taliyah,2026-06-08
Ahri,ahri,Cassiopeia,cassiopeia,mid,16.10,emerald_plus,49.9,1916,1916,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=cassiopeia,2026-06-08
Ahri,ahri,Azir,azir,mid,16.10,emerald_plus,58.35,1887,1887,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=azir,2026-06-08
Ahri,ahri,Brand,brand,mid,16.10,emerald_plus,52.39,1819,1819,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=brand,2026-06-08
Ahri,ahri,Xin Zhao,xinzhao,mid,16.10,emerald_plus,49.85,1713,1713,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=xinzhao,2026-06-08
Ahri,ahri,Vel'Koz,velkoz,mid,16.10,emerald_plus,50.95,1480,1480,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=velkoz,2026-06-08
Ahri,ahri,Swain,swain,mid,16.10,emerald_plus,48.47,949,949,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=swain,2026-06-08
Ahri,ahri,Jayce,jayce,mid,16.10,emerald_plus,52.67,919,919,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=jayce,2026-06-08
Ahri,ahri,Riven,riven,mid,16.10,emerald_plus,52.23,898,898,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=riven,2026-06-08
Ahri,ahri,Ziggs,ziggs,mid,16.10,emerald_plus,51.53,850,850,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=ziggs,2026-06-08
Ahri,ahri,Kayle,kayle,mid,16.10,emerald_plus,49.64,842,842,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=kayle,2026-06-08
Ahri,ahri,Sion,sion,mid,16.10,emerald_plus,54.15,783,783,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=sion,2026-06-08
Ahri,ahri,Pantheon,pantheon,mid,16.10,emerald_plus,55.08,679,679,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=pantheon,2026-06-08
Ahri,ahri,Cho'Gath,chogath,mid,16.10,emerald_plus,54.02,622,622,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=chogath,2026-06-08
Ahri,ahri,Malphite,malphite,mid,16.10,emerald_plus,55.58,565,565,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=malphite,2026-06-08
Xerath,xerath,Viktor,viktor,mid,16.10,emerald_plus,53.13,12277,12277,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=viktor,2026-06-08
Xerath,xerath,Ahri,ahri,mid,16.10,emerald_plus,50.41,6764,6764,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=ahri,2026-06-08
Xerath,xerath,Malzahar,malzahar,mid,16.10,emerald_plus,52.46,5032,5032,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=malzahar,2026-06-08
Xerath,xerath,Zed,zed,mid,16.10,emerald_plus,52.32,4738,4738,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-08
Xerath,xerath,Fizz,fizz,mid,16.10,emerald_plus,47.1,4142,4142,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=fizz,2026-06-08
Xerath,xerath,Twisted Fate,twistedfate,mid,16.10,emerald_plus,50.29,3899,3899,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-08
Xerath,xerath,Katarina,katarina,mid,16.10,emerald_plus,46.99,3869,3869,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=katarina,2026-06-08
Xerath,xerath,Syndra,syndra,mid,16.10,emerald_plus,55.14,3774,3774,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=syndra,2026-06-08
