champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Anivia,anivia,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.58,0.75,1.09,niche,84415,206280,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=emerald_plus,2026-04-05
Katarina,katarina,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.71,1.46,1.46,popular,122403,401556,https://lolalytics.com/lol/katarina/build/?lane=middle&tier=emerald_plus,2026-04-05
Ahri,ahri,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,11.7,2.88,0.99,broad,355339,789378,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=emerald_plus,2026-04-05
Akali,akali,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.55,2.19,0.99,broad,269650,600942,https://lolalytics.com/lol/akali/build/?lane=middle&tier=emerald_plus,2026-04-05
Diana,diana,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.5,1.96,1.06,popular,225754,536788,https://lolalytics.com/lol/diana/build/?lane=middle&tier=emerald_plus,2026-04-05
Ekko,ekko,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.93,1.53,1.09,popular,171294,419302,https://lolalytics.com/lol/ekko/build/?lane=middle&tier=emerald_plus,2026-04-05
Xerath,xerath,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.07,2.14,0.99,broad,265193,586919,https://lolalytics.com/lol/xerath/build/?lane=middle&tier=emerald_plus,2026-04-05
Twisted Fate,twistedfate,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.7,0.87,1.0,niche,106194,238149,https://lolalytics.com/lol/twistedfate/build/?lane=middle&tier=emerald_plus,2026-04-05
Yasuo,yasuo,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,8.04,3.4,1.17,popular,356365,932661,https://lolalytics.com/lol/yasuo/build/?lane=middle&tier=emerald_plus,2026-04-05
Pantheon,pantheon,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.78,1.65,0.94,broad,214989,453023,https://lolalytics.com/lol/pantheon/build/?lane=middle&tier=emerald_plus,2026-04-05
Zoe,zoe,mid,16.7,emerald_plus,global_emerald_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.54,0.74,1.18,niche,76671,202562,https://lolalytics.com/lol/zoe/build/?lane=middle&tier=emerald_plus,2026-04-05
