champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Fiora,fiora,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,0.64,1.02,niche,79407,176557,https://lolalytics.com/lol/fiora/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Fizz,fizz,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.24,1.56,1.17,popular,167281,427289,https://lolalytics.com/lol/fizz/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Galio,galio,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.56,0.98,0.8,unpopular,154543,268898,https://lolalytics.com/lol/galio/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Gangplank,gangplank,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.38,0.83,1.39,niche,74706,226960,https://lolalytics.com/lol/gangplank/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Garen,garen,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.68,3.1,1.07,popular,364758,849276,https://lolalytics.com/lol/garen/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Gnar,gnar,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,0.73,0.94,unpopular,97415,199433,https://lolalytics.com/lol/gnar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Gragas,gragas,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.32,0.49,0.85,unpopular,73182,135467,https://lolalytics.com/lol/gragas/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Graves,graves,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.11,2.33,1.17,popular,249106,638083,https://lolalytics.com/lol/graves/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Gwen,gwen,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.47,0.84,1.01,niche,104079,230389,https://lolalytics.com/lol/gwen/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Hecarim,hecarim,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,0.53,1.05,niche,63827,146602,https://lolalytics.com/lol/hecarim/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Heimerdinger,heimerdinger,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.32,0.64,1.18,niche,68516,175937,https://lolalytics.com/lol/heimerdinger/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
