champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Viktor,viktor,Talon,talon,mid,16.10,master_plus,44.34,415,415,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=talon,2026-06-08
Viktor,viktor,Taliyah,taliyah,mid,16.10,master_plus,49.14,409,409,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=taliyah,2026-06-08
Viktor,viktor,Mel,mel,mid,16.10,master_plus,54.3,407,407,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=mel,2026-06-08
Viktor,viktor,Kassadin,kassadin,mid,16.10,master_plus,53.88,399,399,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=kassadin,2026-06-08
Viktor,viktor,Irelia,irelia,mid,16.10,master_plus,48.9,362,362,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=irelia,2026-06-08
Viktor,viktor,Veigar,veigar,mid,16.10,master_plus,52.08,336,336,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=veigar,2026-06-08
Viktor,viktor,Aurelion Sol,aurelionsol,mid,16.10,master_plus,49.85,327,327,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=aurelionsol,2026-06-08
Viktor,viktor,Azir,azir,mid,16.10,master_plus,57.1,303,303,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=azir,2026-06-08
Viktor,viktor,Naafiri,naafiri,mid,16.10,master_plus,48.12,293,293,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=naafiri,2026-06-08
Viktor,viktor,Vex,vex,mid,16.10,master_plus,56.94,281,281,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=vex,2026-06-08
Viktor,viktor,Jayce,jayce,mid,16.10,master_plus,48.11,212,212,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=jayce,2026-06-08
Viktor,viktor,Sion,sion,mid,16.10,master_plus,41.21,199,199,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=sion,2026-06-08
Viktor,viktor,Xin Zhao,xinzhao,mid,16.10,master_plus,51.52,198,198,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=xinzhao,2026-06-08
Viktor,viktor,Vel'Koz,velkoz,mid,16.10,master_plus,42.94,177,177,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=velkoz,2026-06-08
Viktor,viktor,Brand,brand,mid,16.10,master_plus,50.29,171,171,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=brand,2026-06-08
Viktor,viktor,Riven,riven,mid,16.10,master_plus,40.88,137,137,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=riven,2026-06-08
Viktor,viktor,Swain,swain,mid,16.10,master_plus,51.97,127,127,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=swain,2026-06-08
Viktor,viktor,Singed,singed,mid,16.10,master_plus,41.74,115,115,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=singed,2026-06-08
Viktor,viktor,Nunu & Willump,nunuandwillump,mid,16.10,master_plus,38.94,113,113,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=nunu,2026-06-08
Viktor,viktor,Kayle,kayle,mid,16.10,master_plus,49.55,111,111,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=kayle,2026-06-08
Viktor,viktor,Pantheon,pantheon,mid,16.10,master_plus,54.29,105,105,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=pantheon,2026-06-08
