champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Ahri,ahri,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,14.09,2.43,0.97,broad,314416,667576,https://lolalytics.com/lol/ahri/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Diana,diana,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.11,1.85,1.08,popular,215497,507920,https://lolalytics.com/lol/diana/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Aurelion Sol,aurelionsol,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.13,0.83,1.28,niche,81686,227891,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Katarina,katarina,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.81,1.39,1.5,popular,116470,381849,https://lolalytics.com/lol/katarina/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Zoe,zoe,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.17,0.79,1.22,niche,81714,216974,https://lolalytics.com/lol/zoe/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Xerath,xerath,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.56,2.07,1.01,popular,257109,568240,https://lolalytics.com/lol/xerath/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Anivia,anivia,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.13,0.89,1.05,niche,106311,244066,https://lolalytics.com/lol/anivia/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Singed,singed,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.19,0.57,1.23,niche,58045,155947,https://lolalytics.com/lol/singed/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Viktor,viktor,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.96,1.27,1.03,popular,155652,348704,https://lolalytics.com/lol/viktor/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Lux,lux,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.33,3.73,1.08,popular,432530,1022232,https://lolalytics.com/lol/lux/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Naafiri,naafiri,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.62,1.71,1.18,popular,181966,470179,https://lolalytics.com/lol/naafiri/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Riven,riven,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.2,0.64,1.17,niche,68769,175201,https://lolalytics.com/lol/riven/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Sion,sion,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.88,1.19,0.98,broad,153117,327526,https://lolalytics.com/lol/sion/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Akshan,akshan,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.49,0.53,1.33,niche,49561,144378,https://lolalytics.com/lol/akshan/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Talon,talon,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.84,1.17,1.09,popular,134388,319980,https://lolalytics.com/lol/talon/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Akali,akali,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.79,2.13,1.02,popular,262355,582739,https://lolalytics.com/lol/akali/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Swain,swain,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.95,1.62,1.07,popular,189136,443809,https://lolalytics.com/lol/swain/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Vladimir,vladimir,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.81,0.8,1.06,niche,94533,219636,https://lolalytics.com/lol/vladimir/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Pantheon,pantheon,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.85,1.77,0.95,broad,232890,484454,https://lolalytics.com/lol/pantheon/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Ekko,ekko,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.16,1.48,1.13,popular,165067,405430,https://lolalytics.com/lol/ekko/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Annie,annie,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.24,0.55,0.85,unpopular,81314,150457,https://lolalytics.com/lol/annie/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Veigar,veigar,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.31,2.08,1.05,popular,249585,569640,https://lolalytics.com/lol/veigar/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Zilean,zilean,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.3,0.5,1.23,niche,50758,135966,https://lolalytics.com/lol/zilean/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Kennen,kennen,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.4,0.48,0.87,unpopular,69502,132669,https://lolalytics.com/lol/kennen/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Zed,zed,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,7.09,2.0,1.06,popular,236805,547655,https://lolalytics.com/lol/zed/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Lissandra,lissandra,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.01,0.98,1.0,niche,122483,267830,https://lolalytics.com/lol/lissandra/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Jayce,jayce,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.58,0.78,0.94,unpopular,104829,214342,https://lolalytics.com/lol/jayce/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Irelia,irelia,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.8,1.54,1.11,popular,174815,421870,https://lolalytics.com/lol/irelia/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Vex,vex,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.11,0.91,1.05,niche,109791,250892,https://lolalytics.com/lol/vex/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
Rumble,rumble,mid,16.5,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.14,0.47,0.89,unpopular,66220,128591,https://lolalytics.com/lol/rumble/build/?lane=middle&patch=16.5&tier=platinum_plus,2026-04-07
