champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Ekko,ekko,mid,16.10,diamond_plus,49.93,1432,1432,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=ekko,2026-06-08
Ahri,ahri,Qiyana,qiyana,mid,16.10,diamond_plus,49.96,1293,1293,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=qiyana,2026-06-08
Ahri,ahri,Kassadin,kassadin,mid,16.10,diamond_plus,51.02,1280,1280,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=kassadin,2026-06-08
Ahri,ahri,Talon,talon,mid,16.10,diamond_plus,49.04,1140,1140,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=talon,2026-06-08
Ahri,ahri,Taliyah,taliyah,mid,16.10,diamond_plus,49.91,1088,1088,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=taliyah,2026-06-08
Ahri,ahri,Naafiri,naafiri,mid,16.10,diamond_plus,49.61,1024,1024,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=naafiri,2026-06-08
Ahri,ahri,Vex,vex,mid,16.10,diamond_plus,52.21,1017,1017,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=vex,2026-06-08
Ahri,ahri,Irelia,irelia,mid,16.10,diamond_plus,50.4,1000,1000,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=irelia,2026-06-08
Ahri,ahri,Cassiopeia,cassiopeia,mid,16.10,diamond_plus,48.11,925,925,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=cassiopeia,2026-06-08
Ahri,ahri,Aurelion Sol,aurelionsol,mid,16.10,diamond_plus,52.37,907,907,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=aurelionsol,2026-06-08
Ahri,ahri,Azir,azir,mid,16.10,diamond_plus,59.72,787,787,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=azir,2026-06-08
Ahri,ahri,Brand,brand,mid,16.10,diamond_plus,53.48,647,647,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=brand,2026-06-08
Ahri,ahri,Vel'Koz,velkoz,mid,16.10,diamond_plus,50.08,645,645,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=velkoz,2026-06-08
Ahri,ahri,Xin Zhao,xinzhao,mid,16.10,diamond_plus,49.52,620,620,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=xinzhao,2026-06-08
Ahri,ahri,Riven,riven,mid,16.10,diamond_plus,52.43,494,494,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=riven,2026-06-08
Ahri,ahri,Jayce,jayce,mid,16.10,diamond_plus,51.73,462,462,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=jayce,2026-06-08
Ahri,ahri,Kayle,kayle,mid,16.10,diamond_plus,52.32,453,453,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=kayle,2026-06-08
Ahri,ahri,Swain,swain,mid,16.10,diamond_plus,51.24,404,404,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=swain,2026-06-08
Ahri,ahri,Sion,sion,mid,16.10,diamond_plus,52.79,341,341,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=sion,2026-06-08
Ahri,ahri,Ziggs,ziggs,mid,16.10,diamond_plus,51.7,294,294,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=ziggs,2026-06-08
