champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Viktor,viktor,mid,16.11,emerald_plus,50.72,8490,8490,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=viktor,2026-06-08
Ahri,ahri,Sylas,sylas,mid,16.11,emerald_plus,50.86,8412,8412,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=sylas,2026-06-08
Ahri,ahri,Zed,zed,mid,16.11,emerald_plus,47.89,6521,6521,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=zed,2026-06-08
Ahri,ahri,Katarina,katarina,mid,16.11,emerald_plus,48.24,5927,5927,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=katarina,2026-06-08
Ahri,ahri,Yasuo,yasuo,mid,16.11,emerald_plus,51.12,5227,5227,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=yasuo,2026-06-08
Ahri,ahri,Malzahar,malzahar,mid,16.11,emerald_plus,52.33,5198,5198,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=malzahar,2026-06-08
Ahri,ahri,Xerath,xerath,mid,16.11,emerald_plus,52.08,4737,4737,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=xerath,2026-06-08
Ahri,ahri,Twisted Fate,twistedfate,mid,16.11,emerald_plus,49.39,4511,4511,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=twistedfate,2026-06-08
Ahri,ahri,Akali,akali,mid,16.11,emerald_plus,52.91,4496,4496,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=akali,2026-06-08
Ahri,ahri,Mel,mel,mid,16.11,emerald_plus,50.9,4456,4456,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=mel,2026-06-08
Ahri,ahri,Vladimir,vladimir,mid,16.11,emerald_plus,48.3,4321,4321,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=vladimir,2026-06-08
Ahri,ahri,Lissandra,lissandra,mid,16.11,emerald_plus,49.72,4169,4169,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=lissandra,2026-06-08
Ahri,ahri,Lux,lux,mid,16.11,emerald_plus,48.93,4128,4128,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=lux,2026-06-08
Ahri,ahri,Fizz,fizz,mid,16.11,emerald_plus,48.94,4064,4064,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=fizz,2026-06-08
Ahri,ahri,Syndra,syndra,mid,16.11,emerald_plus,51.62,4022,4022,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=syndra,2026-06-08
Ahri,ahri,Yone,yone,mid,16.11,emerald_plus,55.11,4019,4019,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=yone,2026-06-08
Ahri,ahri,LeBlanc,leblanc,mid,16.11,emerald_plus,49.33,3505,3505,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=leblanc,2026-06-08
Ahri,ahri,Orianna,orianna,mid,16.11,emerald_plus,53.38,3479,3479,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=orianna,2026-06-08
Ahri,ahri,Diana,diana,mid,16.11,emerald_plus,49.08,3431,3431,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=diana,2026-06-08
Ahri,ahri,Galio,galio,mid,16.11,emerald_plus,53.93,3269,3269,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=galio,2026-06-08
Ahri,ahri,Veigar,veigar,mid,16.11,emerald_plus,49.02,3258,3258,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=veigar,2026-06-08
Ahri,ahri,Hwei,hwei,mid,16.11,emerald_plus,52.72,3084,3084,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.11&target_champion=hwei,2026-06-08
