champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Fizz,fizz,mid,16.10,plat_plus,52.85,5.85,7.62,297508,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Xerath,xerath,mid,16.10,plat_plus,52.52,5.96,9.96,280713,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Ahri,ahri,mid,16.10,plat_plus,51.34,10.33,4.18,477153,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Viktor,viktor,mid,16.10,plat_plus,50.87,9.67,6.2,448979,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Malzahar,malzahar,mid,16.10,plat_plus,51.06,7.78,13.47,377789,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Katarina,katarina,mid,16.10,plat_plus,51.26,7.12,9.26,344690,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Naafiri,naafiri,mid,16.10,plat_plus,51.69,3.39,34.48,151604,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Vladimir,vladimir,mid,16.10,plat_plus,51.67,4.5,5.22,212829,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Zed,zed,mid,16.10,plat_plus,49.72,9.03,31.08,400845,https://op.gg/lol/champions/zed/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Diana,diana,mid,16.10,plat_plus,51.85,3.94,4.45,189004,https://op.gg/lol/champions/diana/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Lissandra,lissandra,mid,16.10,plat_plus,51.46,4.63,2.79,228027,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Lux,lux,mid,16.10,plat_plus,51.59,3.99,4.87,200954,https://op.gg/lol/champions/lux/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Twisted Fate,twistedfate,mid,16.10,plat_plus,51.4,4.55,0.85,227884,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Veigar,veigar,mid,16.10,plat_plus,51.57,4.02,1.38,201892,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Akali,akali,mid,16.10,plat_plus,49.75,6.85,17.88,317427,https://op.gg/lol/champions/akali/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Vex,vex,mid,16.10,plat_plus,51.84,2.81,3.37,132810,https://op.gg/lol/champions/vex/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Yasuo,yasuo,mid,16.10,plat_plus,49.39,7.78,16.91,375416,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Ekko,ekko,mid,16.10,plat_plus,51.6,2.97,1.62,146064,https://op.gg/lol/champions/ekko/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Annie,annie,mid,16.10,plat_plus,51.63,2.85,0.84,136927,https://op.gg/lol/champions/annie/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Sylas,sylas,mid,16.10,plat_plus,49.27,6.46,10.99,303775,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Yone,yone,mid,16.10,plat_plus,49.29,5.7,5.47,272966,https://op.gg/lol/champions/yone/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
LeBlanc,leblanc,mid,16.10,plat_plus,49.93,4.07,13.59,186956,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Brand,brand,mid,16.10,plat_plus,51.29,1.99,9.89,89721,https://op.gg/lol/champions/brand/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Syndra,syndra,mid,16.10,plat_plus,50.15,3.92,2.38,186577,https://op.gg/lol/champions/syndra/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Hwei,hwei,mid,16.10,plat_plus,50.46,3.3,1.58,154887,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Galio,galio,mid,16.10,plat_plus,50.08,3.8,1.52,168204,https://op.gg/lol/champions/galio/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Malphite,malphite,mid,16.10,plat_plus,52.23,1.0,19.27,48593,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Irelia,irelia,mid,16.10,plat_plus,50.4,2.71,13.89,125906,https://op.gg/lol/champions/irelia/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Xin Zhao,xinzhao,mid,16.10,plat_plus,51.38,1.67,7.86,72512,https://op.gg/lol/champions/xinzhao/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Anivia,anivia,mid,16.10,plat_plus,50.43,2.9,3.76,139895,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
Aurelion Sol,aurelionsol,mid,16.10,plat_plus,50.61,2.16,0.89,102654,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=platinum_plus&patch=16.10,2026-06-07
