champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Malzahar,malzahar,Vladimir,vladimir,mid,16.07,plat_plus,56.5,1892,1892,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=vladimir,2026-04-07
Malzahar,malzahar,Aurora,aurora,mid,16.07,plat_plus,50.11,1744,1744,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=aurora,2026-04-07
Malzahar,malzahar,Irelia,irelia,mid,16.07,plat_plus,53.58,1618,1618,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=irelia,2026-04-07
Malzahar,malzahar,Vex,vex,mid,16.07,plat_plus,50.29,1565,1565,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=vex,2026-04-07
Malzahar,malzahar,Akshan,akshan,mid,16.07,plat_plus,51.51,1495,1495,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=akshan,2026-04-07
Malzahar,malzahar,Talon,talon,mid,16.07,plat_plus,48.1,1393,1393,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=talon,2026-04-07
Malzahar,malzahar,Kassadin,kassadin,mid,16.07,plat_plus,52.67,1350,1350,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=kassadin,2026-04-07
Malzahar,malzahar,Naafiri,naafiri,mid,16.07,plat_plus,52.68,1285,1285,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=naafiri,2026-04-07
Malzahar,malzahar,Azir,azir,mid,16.07,plat_plus,55.37,1266,1266,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=azir,2026-04-07
Malzahar,malzahar,Sion,sion,mid,16.07,plat_plus,38.63,1240,1240,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=sion,2026-04-07
Malzahar,malzahar,Annie,annie,mid,16.07,plat_plus,48.36,1127,1127,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=annie,2026-04-07
Malzahar,malzahar,Qiyana,qiyana,mid,16.07,plat_plus,52.46,997,997,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=qiyana,2026-04-07
