lambda,champion,best_pool,best_pool_point_score,best_pool_objective_score,best_pool_member,top_pool_appearances,top_pool_share,mid_pickrate,offmeta_penalty,low_pickrate_penalty,importance_ratio_penalty,lolalytics_penalty,lolalytics_available,lolalytics_breadth,lolalytics_depth,lolalytics_classification,specialist_heuristic_flag,lolalytics_source_url,lolalytics_extraction_date,lolalytics_pickrate_scope,lolalytics_depth_scope
0.0,Irelia,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0273,0.0733333333333334,0.0,0.0,0.2200000000000002,True,1.54,1.11,popular,False,https://lolalytics.com/lol/irelia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Jayce,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0066,0.22333333333333336,0.67,0.0,0.0,True,0.78,0.94,unpopular,False,https://lolalytics.com/lol/jayce/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Kassadin,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.024700000000000003,0.0,0.0,0.0,0.0,True,0.45,0.96,unpopular,False,https://lolalytics.com/lol/kassadin/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Katarina,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,2,0.1,0.0662,0.3870205926770561,0.0,0.16106177803116833,1.0,True,1.39,1.5,popular,True,https://lolalytics.com/lol/katarina/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,LeBlanc,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0433,0.0,0.0,0.0,0.0,True,1.01,0.97,broad,False,https://lolalytics.com/lol/leblanc/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Lissandra,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.051500000000000004,0.3333333333333333,0.0,0.0,1.0,True,0.98,1.0,niche,True,https://lolalytics.com/lol/lissandra/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Lux,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0426,0.05333333333333338,0.0,0.0,0.16000000000000014,True,3.73,1.08,popular,False,https://lolalytics.com/lol/lux/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Malphite,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0092,0.18000000000000002,0.54,0.0,0.0,True,2.47,0.85,broad,False,https://lolalytics.com/lol/malphite/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Malzahar,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,1,0.05,0.0758,0.1811862941722545,0.0,0.08355888251676342,0.45999999999999996,True,1.99,1.23,popular,True,https://lolalytics.com/lol/malzahar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Mel,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0667,0.05333333333333338,0.0,0.0,0.16000000000000014,True,3.04,1.08,popular,False,https://lolalytics.com/lol/mel/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Morgana,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0063,0.22833333333333336,0.685,0.0,0.0,True,2.04,0.92,broad,False,https://lolalytics.com/lol/morgana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Naafiri,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,1,0.05,0.023399999999999997,0.18852769417301982,0.0,0.20558308251905955,0.3599999999999999,True,1.71,1.18,popular,True,https://lolalytics.com/lol/naafiri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
