champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Ahri,ahri,mid,16.05,plat_plus,52.07,14.24,8.58,392193,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=platinum_plus,2026-03-13
Xerath,xerath,mid,16.05,plat_plus,52.56,5.33,7.45,147739,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus,2026-03-13
Malzahar,malzahar,mid,16.05,plat_plus,51.62,7.48,12.52,206696,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus,2026-03-13
Veigar,veigar,mid,16.05,plat_plus,52.47,5.18,2.35,143771,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=platinum_plus,2026-03-13
Viktor,viktor,mid,16.05,plat_plus,51.33,7.09,3.64,194964,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=platinum_plus,2026-03-13
Fizz,fizz,mid,16.05,plat_plus,51.53,4.92,8.18,135978,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus,2026-03-13
Diana,diana,mid,16.05,plat_plus,51.79,4.08,8.81,112489,https://op.gg/lol/champions/diana/build/mid?region=global&tier=platinum_plus,2026-03-13
Yasuo,yasuo,mid,16.05,plat_plus,49.75,9.45,20.07,261317,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=platinum_plus,2026-03-13
Lux,lux,mid,16.05,plat_plus,51.57,4.3,5.04,118728,https://op.gg/lol/champions/lux/build/mid?region=global&tier=platinum_plus,2026-03-13
Zed,zed,mid,16.05,plat_plus,50.13,7.05,25.32,194635,https://op.gg/lol/champions/zed/build/mid?region=global&tier=platinum_plus,2026-03-13
Katarina,katarina,mid,16.05,plat_plus,50.5,6.73,9.52,185918,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus,2026-03-13
Anivia,anivia,mid,16.05,plat_plus,52.23,3.1,2.41,85582,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus,2026-03-13
