"champion_i","champion_i_normalized","champion_j","champion_j_normalized","lane","patch","elo","matchup_winrate_i_vs_j","matchup_games","source_url","extraction_date","champion_i_total_games","matchup_share_percent","low_matchup_sample","low_champion_sample"
"Ahri","ahri","Lissandra","lissandra","mid",16.05,"plat_plus",51.7,5244,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=lissandra",2026-03-13,392193,1.33709678653112,0,0
"Ahri","ahri","Ekko","ekko","mid",16.05,"plat_plus",52.33,4972,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ekko",2026-03-13,392193,1.2677431774662,0,0
"Ahri","ahri","Aurelion Sol","aurelionsol","mid",16.05,"plat_plus",52.57,4904,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=aurelionsol",2026-03-13,392193,1.25040477519997,0,0
"Ahri","ahri","Kassadin","kassadin","mid",16.05,"plat_plus",49.97,4861,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kassadin",2026-03-13,392193,1.23944078553161,0,0
"Ahri","ahri","Akshan","akshan","mid",16.05,"plat_plus",49.91,4755,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=akshan",2026-03-13,392193,1.21241327611661,0,0
"Ahri","ahri","Vladimir","vladimir","mid",16.05,"plat_plus",52,4485,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=vladimir",2026-03-13,392193,1.14356962005951,0,0
"Ahri","ahri","Irelia","irelia","mid",16.05,"plat_plus",50.85,4234,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=irelia",2026-03-13,392193,1.07957051757681,0,0
"Ahri","ahri","Naafiri","naafiri","mid",16.05,"plat_plus",50.7,4170,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=naafiri",2026-03-13,392193,1.06325202132623,0,0
"Ahri","ahri","Qiyana","qiyana","mid",16.05,"plat_plus",50.59,3714,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=qiyana",2026-03-13,392193,0.94698273554092,0,0
"Ahri","ahri","Taliyah","taliyah","mid",16.05,"plat_plus",53.88,3445,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=taliyah",2026-03-13,392193,0.878394055987741,0,0
"Ahri","ahri","Talon","talon","mid",16.05,"plat_plus",50.98,3333,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=talon",2026-03-13,392193,0.849836687549242,0,0
"Ahri","ahri","Azir","azir","mid",16.05,"plat_plus",60.68,3138,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=azir",2026-03-13,392193,0.800116269285785,0,0
"Ahri","ahri","Vel'Koz","velkoz","mid",16.05,"plat_plus",50.99,2014,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=velkoz",2026-03-13,392193,0.513522678885141,0,0
"Ahri","ahri","Brand","brand","mid",16.05,"plat_plus",53.37,1842,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=brand",2026-03-13,392193,0.469666720211732,0,0
"Ahri","ahri","Cassiopeia","cassiopeia","mid",16.05,"plat_plus",52.06,1792,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=cassiopeia",2026-03-13,392193,0.456917895015974,0,0
"Ahri","ahri","Swain","swain","mid",16.05,"plat_plus",50.45,1685,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=swain",2026-03-13,392193,0.429635409097052,0,0
"Ahri","ahri","Smolder","smolder","mid",16.05,"plat_plus",55.53,1484,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=smolder",2026-03-13,392193,0.378385131810104,0,0
"Ahri","ahri","Ziggs","ziggs","mid",16.05,"plat_plus",52.93,1381,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ziggs",2026-03-13,392193,0.352122551906842,0,0
"Ahri","ahri","Sion","sion","mid",16.05,"plat_plus",52.72,1248,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=sion",2026-03-13,392193,0.318210676886125,0,0
